"","p.delta.SAM.NBsurv","p.delta.SAM.Bsurv","p.delta.SAM.NBreprod","p.delta.SAM.Breprod","p.delta.DensP.NBsurv","p.delta.DensP.Bsurv","p.delta.DensP.NBreprod","p.delta.DensP.Breprod","p.delta.DensS.NBsurv","p.delta.DensS.Bsurv","p.delta.DensS.NBreprod","p.delta.DensS.Breprod","p.delta.SST.NBsurv","p.delta.SST.Bsurv","p.delta.SST.NBreprod","p.delta.SST.Breprod","p.delta.Chla.NBsurv","p.delta.Chla.Bsurv","p.delta.Chla.NBreprod","p.delta.Chla.Breprod"
"1",8.45391262579056e-05,0.00621932236276056,0.000717593045045928,0.000859683374345483,0.0140115868154151,0.00722660568447326,0.005476182244976,0.00815438446209262,0.00117014797894574,0.00599003523000183,0.00593715451389585,0.00869648520926999,0.00668844068860901,0.00613093756541717,0.00284039173382354,0.000689764185953272,0.0116352621328177,0.0122610624196624,0.00377213501571427,0.000548010774706422
"2",6.78800369321147e-05,0.00221993088038623,0.000480537195280259,0.0008228984515107,0.0139659249656439,0.00704520308206857,0.00553309831764969,0.00826522768961757,0.00109893763346939,0.00486126982996994,0.00536479707444336,0.00859260845082104,0.00635681901098316,0.00973389634053863,0.00291468505493588,0.000707757565115615,0.0112316006418067,0.00774744473949502,0.00352070472463257,0.000523612731900331
"3",0.000129068090918462,0.00190821017937942,0.000479767714130871,0.000645994737129105,0.0136190698005071,0.00726272907104651,0.00521901228887505,0.00823902670915875,0.000807306936488019,0.00373832572349311,0.00556331502056765,0.00828739048097704,0.00676661850955756,0.0112428245799577,0.00312804509476289,0.000654693512939246,0.0105957425972817,0.00802955693596037,0.00378099245826675,0.000541492174454567
"4",7.95485372848201e-05,0.00655361781115035,0.000650946121931489,0.00107287769694859,0.0128723863302466,0.00752747975969485,0.00542808396016053,0.00823147136798747,0.000821844682614688,0.00447294505219463,0.00567760464881111,0.00853201310914827,0.0058228427028977,0.00774615375928277,0.0034133925446951,0.000824450706991726,0.00882097251364948,0.0138266558733882,0.00377505100167398,0.000429167392296043
"5",3.95482604547685e-05,0.00665066421783137,2.89409349647956e-06,0.00109843100953617,0.0125212432438641,0.00742453963409107,0.0054881227225913,0.00836339872544855,0.000959029901466788,0.00446952854741181,0.00528587301722597,0.00869690896204821,0.00510266103753922,0.00788656704367579,0.00367138606436892,0.00109652502619563,0.00799459031691893,0.0138056113645651,0.00429931675828418,0.000474278127518946
"6",9.47944166671522e-05,0.00558749372485464,6.48931282914829e-05,0.000765942184797356,0.0125405347543774,0.00734722982926415,0.00537031094142969,0.0083445095798367,0.00108485134968409,0.00505196888508151,0.00541592747636699,0.00829432610592579,0.00537735179857777,0.00757111743252369,0.00363690109412558,0.000894061433034335,0.0100276886359935,0.0120292101111873,0.00431638098425779,0.000437603259448213
"7",0.000183002050788242,0.00646198157368819,9.44426503953163e-05,0.000775180994761398,0.0124037075989222,0.00734060873069536,0.00544103268804137,0.0082716984902277,0.00117026943130591,0.00532844982570843,0.00532944163313426,0.00871768440839553,0.00476956195000537,0.00684121829547176,0.00371588409747956,0.0011869390761604,0.0101467549988065,0.0135314565853076,0.00419538437077437,0.000717270016948386
"8",1.92949955105522e-05,0.00439657443402604,0.000172769731521871,0.000777972486961413,0.0124155061130972,0.00726658575739077,0.00543323658973233,0.008339369000721,0.00171980297226109,0.00478847978650047,0.00533174509954277,0.00850672800446679,0.00461060602461212,0.0086273223138866,0.00372117880007825,0.001168638895478,0.0105542734917361,0.0104308004138655,0.0042803592802591,0.000732346922030286
"9",6.06277443632424e-05,0.00486061389662355,0.000244759743815391,0.000850587144199723,0.0125365296317768,0.00735946592136252,0.00536426302536375,0.00845860172865566,0.00165524144972617,0.00396198090580313,0.00531029251971748,0.00873375154243733,0.00466672825857766,0.00914478449126653,0.00363382414516586,0.000985125069273473,0.0105745148676835,0.0115766983353443,0.004209216746158,0.000624272205975012
"10",6.11055997004244e-05,0.00157412745799412,0.000638643871252383,0.00101252666567623,0.0123841846685363,0.00704871963660721,0.00533012008822566,0.0083473114810286,0.00162367014635388,0.00463084045222411,0.00547900400010237,0.00816215165867241,0.00460124233562303,0.0103733257115438,0.00348522721624727,0.000878283548510411,0.0106390007867984,0.00706508094956895,0.00362638473828269,0.000395035092007942
