"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.515865184711994,0,2,6,59,0,0,0,16,1.7993202061797
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.519004406787044,0,2,6,59,0,0,0,16,1.81160242232572
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.530236978330845,0,2,6,59,0,0,0,16,1.83556793595046
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.516188547973216,0,2,6,59,0,0,0,16,1.80998351405283
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526948283159402,0,2,6,59,0,0,0,16,1.8341888569768
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.524976342787058,0,2,6,59,0,0,0,16,1.80148118480741
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523216871488421,0,2,6,59,0,0,0,16,1.81797657859069
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.518758940244545,0,2,6,59,0,0,0,16,1.82080222724231
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.521672518847706,0,2,6,59,0,0,0,16,1.81435806756551
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.507325133055748,0,2,6,59,0,0,0,16,1.76808410512057
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526408891035731,0,2,6,59,0,0,0,16,1.81699604326469
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.517855998114964,0,2,6,59,0,0,0,16,1.79666763195412
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.518762736257229,0,2,6,59,0,0,0,16,1.81269819066144
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.509257256807812,0,2,6,59,0,0,0,16,1.80106678899742
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.517461652807037,0,2,6,59,0,0,0,16,1.80620321540098
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.521345504763075,0,2,6,59,0,0,0,16,1.81308645471712
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.5254579265127,0,2,6,59,0,0,0,16,1.80815834220072
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.534887000041979,0,2,6,59,0,0,0,16,1.80968602968059
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523250857436365,0,2,6,59,0,0,0,16,1.81848904326133
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.527548125541282,0,2,6,59,0,0,0,16,1.81445881272591
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523858649612526,0,2,6,59,0,0,0,16,1.79591471407377
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523170325298385,0,2,6,59,0,0,0,16,1.80206550599582
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.528660138427614,0,2,6,59,0,0,0,16,1.83950625936272
