"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0631705025724779,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.10571878823131,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0902776733675963,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0631705025724779,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.10571878823131,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0902776733675963,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0631705025724779,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.10571878823131,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0902776733675963,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0631705025724779,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.10571878823131,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0902776733675963,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0631705025724779,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.10571878823131,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0902776733675963,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0631705025724779,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.10571878823131,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0902776733675963,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0631705025724779,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.10571878823131,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","helper adult","growth",0.0902776733675963,2,28,1422,1,0,0,20
