"TSF","vital_rate","value"
0,"staySB",0.1
1,"staySB",0.05
2,"staySB",0.597826086956522
3,"staySB",0.8453125
4,"staySB",0.8453125
5,"staySB",0.8453125
0,"outSB",0.81
1,"outSB",0.0609452736318408
2,"outSB",0.0347003154574132
3,"outSB",0.0347003154574132
4,"outSB",0.0347003154574132
5,"outSB",0.01
0,"goCont",0
1,"goCont",0
2,"goCont",0.0261233864175041
3,"goCont",0.0261233864175041
4,"goCont",0.0261233864175041
5,"goCont",0.01
