"","Year","breeding_tmp","breeding_pr","postbreed_tmp","winter_tmin","winter_pr"
"1",1999,-0.104743675299713,0.656382598728845,-0.0985560939436668,0.0148159459443658,0.254811350266947
"2",2000,-0.0632816076331479,0.147900708656607,-0.00866055470968224,0.311424553948206,-0.110277845816388
"3",2001,-0.150593141451325,0.474534956590171,-0.102646697482857,0.0082575344556563,-0.681416908350259
"4",2002,-0.0550933956748463,0.449207114558358,-0.0519243183379439,-0.136887956859007,-0.472002886921562
"5",2003,0.204140911969511,-0.793624214392395,-0.244603705812535,0.0207654775494869,0.0891284742313117
"6",2004,-0.253925491990547,-0.421599056824892,0.0351650304131993,-0.278009331716371,-0.582319731353591
"7",2005,-0.00634707877958978,-0.369562367056275,0.0531029993834955,-0.35653860345846,-0.52581252931021
"8",2006,0.13659619023399,-0.298482693695363,0.487795568706069,0.374481158154338,-0.0181145906804954
"9",2007,0.177990044269723,0.403667868487093,-0.248730217863674,0.148236608301355,-0.316314517049156
"10",2008,-0.0132105799324703,0.312293465157613,-0.098019601345191,-0.133869657663554,-0.00739526971055815
"11",2009,0.138855299228641,-0.134506085920999,0.163130774493068,-0.265301280412705,-0.237357414967307
"12",2010,-0.0508172678978262,-0.0134864106558179,-0.218704947224276,-0.0917796836931133,-0.554984392248688
"13",2011,0.0299420035487467,-0.198790671200697,0.172794780038782,-0.0993893263508594,0.657572658073014
"14",2012,0.0150860026062729,0.105550878351796,0.0714149893984619,-0.125952893785654,0.268577562360927
"15",2013,-0.105749665876443,0.352959789325814,0.0561020658017566,0.26601413412357,0.457251210159179
"16",2014,-0.0913099409181235,0.356035509076077,0.279069691986062,0.135543386931837,-0.15990106099432
"17",2015,0.271629316306217,0.0673999590894466,0.0291679780569979,0.386622134847059,0.621486860548063
"18",2016,-0.0993221532745147,0.817323446092524,-0.0243672844722399,-0.0669222811883841,-1.03971081979614
"19",2017,0.153358927065902,-0.218187533702696,-0.139383409474466,0.0250906711516284,1.09382904183734
"20",2018,0.361127766150871,-0.919458262021665,0.30048332144755,0.142510228375177,0.169003256243037
