"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0183078603919762,0.0626315288314801
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0161224390054573,0.0791868642446997
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0128247788250301,0.00999810368956843
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0123670460623925,0.0306152469172459
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0175377682425809,0.109332479603442
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0243620039167971,0.0957846834933619
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0139510249883694,0.093197562790895
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0135099963248353,0.0620320535019101
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0138075423135484,0.254652140658073
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0176335570486502,0.0903241123016976
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0155642007226904,0.0556998167051032
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0115795487895662,0.217222207640059
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0113797668974217,0.0647914268941819
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0114588110197907,0.134258158134208
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0243620039167971,0.0957846834933619
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0139510249883694,0.093197562790895
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0196407854306563,0.00650114726423331
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0137478307623131,0.0112866938520227
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0105469717591106,0.208174296953482
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0155642007226904,0.0556998167051032
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.014754210709631,0.132530539287499
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.00558060295175731,0.0195038877224533
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0114588110197907,0.134258158134208
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.024310546993969,0.147572119005864
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.010698142612934,0.0665541856051722
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0099463483031537,0.0173863967810706
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0137478307623131,0.0112866938520227
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.020197528843754,0.0541485778275855
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0173093574659194,0.00501159460438134
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0105254798049434,0.0534835303132052
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.00620230853306126,0.000618252699590511
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0114588110197907,0.134258158134208
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0117764720754037,0.107974710194355
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.00814213384362983,0.214173964180132
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.00745195646952837,0.177291123247443
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0169305725522479,0.109159248797509
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0239144347521322,0.00458661967529501
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.018850741598255,0.00133019944349194
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.0105254798049434,0.0534835303132052
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Sitta europaea","Europe","Tbr","C","all","all",0.00620230853306126,0.000618252699590511
