"Name","locality","Longitude","Latitude","Altitude","month","year","pet","pr","tas","tasmax","tasmin","X","pet_c","pet_scaled","pr_scaled","tas_scaled"
"Haknovec","Hk",14.19022,49.93912,287,1,1985,1118,31.31,-6.94999999999999,-4.25,-10.95,5,5.59892681694934,-1.7913959658899,0.392524479695498,-2.04697552970966
"Císarská rokle","Cr",14.13109,49.92955,270,1,1985,1031,31.33,-6.94999999999999,-4.34999999999997,-10.95,6,5.50536936369996,-1.80758008821399,0.31460496695186,-2.0242759038883
"Kodská stena","Ks",14.12305,49.93391,350,1,1985,1191,31.05,-6.94999999999999,-4.34999999999997,-10.95,7,5.50607316925033,-1.8012912610283,0.311319111054478,-2.03940793959486
"Radotánské údolí","Ru",14.312,49.99823,290,1,1985,1119,33.58,-6.94999999999999,-4.34999999999997,-11.15,8,5.53521393392281,-1.85765443271003,0.482537915767085,-2.10034507257882
"Haknovec","Hk",14.19022,49.93912,287,1,1986,1666,34.5,0.150000000000034,2.45000000000005,-2.54999999999995,5,7.90338106384278,-0.154430689650104,0.68216214795713,0.259933400598056
"Císarská rokle","Cr",14.13109,49.92955,270,1,1986,1899,35.7,-0.0499999999999545,2.35000000000002,-2.64999999999998,6,7.84253121051592,-0.129847840096756,0.701560221491331,0.227639249167614
"Kodská stena","Ks",14.12305,49.93391,350,1,1986,2233,35.59,-0.149999999999977,2.15000000000003,-2.84999999999997,7,7.74891937451888,-0.170845814665699,0.715905715339059,0.217381969151283
"Radotánské údolí","Ru",14.312,49.99823,290,1,1986,1994,34.18,-0.0499999999999545,2.35000000000002,-2.64999999999998,8,7.83062831716501,-0.236005634991516,0.534101413129799,0.190940461143537
"Haknovec","Hk",14.19022,49.93912,287,1,1987,1249,49.06,-7.34999999999997,-5.14999999999998,-11.75,5,4.89633335495522,-2.29048207365183,2.00414473412934,-2.17694223000868
"Císarská rokle","Cr",14.13109,49.92955,270,1,1987,1156,51.28,-7.44999999999999,-5.25,-11.75,6,4.79204294806323,-2.31964164380462,2.08113982463205,-2.18745816135612
"Kodská stena","Ks",14.12305,49.93391,350,1,1987,1310,50.83,-7.44999999999999,-5.25,-11.75,7,4.79407115499089,-2.31888379110162,2.07403343544853,-2.20534837406149
"Radotánské údolí","Ru",14.312,49.99823,290,1,1987,1277,49.85,-7.34999999999997,-5.04999999999995,-11.85,8,4.99403420682033,-2.23998341880176,1.88076808591934,-2.23317321946127
"Haknovec","Hk",14.19022,49.93912,287,1,1988,1321,30.28,2.25,4.95000000000005,-0.149999999999977,5,9.27309484999756,0.818543240878109,0.299005107184689,0.942258577167931
"Císarská rokle","Cr",14.13109,49.92955,270,1,1988,1577,30.6,2.15000000000003,4.85000000000002,-0.25,6,9.22539412651787,0.862840668858096,0.249964844340003,0.945641182026013
"Kodská stena","Ks",14.12305,49.93391,350,1,1988,1894,30.36,2.05000000000001,4.75,-0.349999999999966,7,9.17926081788593,0.868946252932747,0.249829076482592,0.947519880804442
"Radotánské údolí","Ru",14.312,49.99823,290,1,1988,1677,33.77,2.25,5.05000000000001,-0.149999999999977,8,9.34486578847707,0.833762591931033,0.498866356598611,0.954702305717638
"Haknovec","Hk",14.19022,49.93912,287,1,1989,1120,12.02,0.650000000000034,4.35000000000002,-1.64999999999998,5,10.3156151044918,1.55909578544887,-1.3589208559681,0.422391775971838
"Císarská rokle","Cr",14.13109,49.92955,270,1,1989,1204,11.87,0.650000000000034,4.25,-1.64999999999998,6,10.1626455848568,1.53564687540833,-1.40854131527654,0.456094409622556
"Kodská stena","Ks",14.12305,49.93391,350,1,1989,1466,11.65,0.650000000000034,4.25,-1.64999999999998,7,10.1632970840336,1.58429510093992,-1.41753113632897,0.482886664297892
"Radotánské údolí","Ru",14.312,49.99823,290,1,1989,1300,11.92,0.850000000000023,4.45000000000005,-1.64999999999998,8,10.4377565412605,1.60586064456483,-1.37890433902688,0.489803791629053
"Haknovec","Hk",14.19022,49.93912,287,1,1990,1389,11.81,0.75,4.35000000000002,-1.84999999999997,5,10.5282060967274,1.71010944640573,-1.37798791249943,0.454883451046584
"Císarská rokle","Cr",14.13109,49.92955,270,1,1990,1639,12.64,0.650000000000034,4.15000000000003,-1.94999999999999,6,10.3035394301731,1.63678755942658,-1.34035926813801,0.456094409622556
"Kodská stena","Ks",14.12305,49.93391,350,1,1990,1965,12.57,0.650000000000034,4.05000000000001,-1.94999999999999,7,10.1416055266427,1.56852634207927,-1.33554442356646,0.482886664297892
"Radotánské údolí","Ru",14.312,49.99823,290,1,1990,1751,10.12,0.850000000000023,4.45000000000005,-1.64999999999998,8,10.4672442425485,1.62669291593609,-1.53359483111502,0.489803791629053
"Haknovec","Hk",14.19022,49.93912,287,1,1991,1339,9.39,0.950000000000045,4.05000000000001,-1.25,5,9.43396662903177,0.932818243977397,-1.59771304014618,0.519866801196111
"Císarská rokle","Cr",14.13109,49.92955,270,1,1991,1612,9.58,0.850000000000023,3.95000000000005,-1.34999999999997,6,9.38552021425506,0.977787223170346,-1.6113164944288,0.52136731260968
"Kodská stena","Ks",14.12305,49.93391,350,1,1991,1940,9.49,0.75,3.85000000000002,-1.44999999999999,7,9.33301151209337,0.980715895744968,-1.61002167933661,0.516074751191206
"Radotánské údolí","Ru",14.312,49.99823,290,1,1991,1674,9.24,0.950000000000045,4.05000000000001,-1.34999999999997,8,9.51049708832595,0.950776670184347,-1.60922129391366,0.523010828349675
"Haknovec","Hk",14.19022,49.93912,287,1,1992,1441,21.22,0.650000000000034,3.25,-1.34999999999997,5,8.03857789269814,-0.0583938450946903,-0.523602188881262,0.422391775971838
"Císarská rokle","Cr",14.13109,49.92955,270,1,1992,1577,21.5,0.650000000000034,3.15000000000003,-1.44999999999999,6,7.99411640347862,-0.0210323693508721,-0.555822985479033,0.456094409622556
"Kodská stena","Ks",14.12305,49.93391,350,1,1992,1890,21.36,0.650000000000034,3.15000000000003,-1.44999999999999,7,7.99418493840078,0.00745090529728469,-0.552214852715916,0.482886664297892
"Radotánské údolí","Ru",14.312,49.99823,290,1,1992,1682,23.09,0.850000000000023,3.45000000000005,-1.25,8,8.18217793529258,0.0123547568126568,-0.418963896457691,0.489803791629053
"Haknovec","Hk",14.19022,49.93912,287,1,1993,1897,23.17,1.45000000000005,4.55000000000001,-2.04999999999995,5,10.8704164571096,1.95319801189593,-0.346550949661769,0.682325176569894
"Císarská rokle","Cr",14.13109,49.92955,270,1,1993,2219,23.82,1.35000000000002,4.45000000000005,-2.14999999999998,6,10.8074035802658,1.99848657245491,-0.350391362931762,0.684549570077499
"Kodská stena","Ks",14.12305,49.93391,350,1,1993,2619,23.56,1.25,4.35000000000002,-2.14999999999998,7,10.6485572166808,1.93705677123072,-0.356159670022947,0.682015185657834
"Radotánské údolí","Ru",14.312,49.99823,290,1,1993,2357,24.08,1.35000000000002,4.55000000000001,-2.14999999999998,8,10.9127370068622,1.94142162501613,-0.333884125809213,0.655838975232122
"Haknovec","Hk",14.19022,49.93912,287,1,1994,1863,19.83,2.95000000000005,5.55000000000001,0.350000000000023,5,9.88434374870785,1.2527428886591,-0.649807944017208,1.16970030269124
"Císarská rokle","Cr",14.13109,49.92955,270,1,1994,2117,20.32,2.85000000000002,5.35000000000002,0.25,6,9.65632608541481,1.17218528920209,-0.660309759016007,1.17409634248096
"Kodská stena","Ks",14.12305,49.93391,350,1,1994,2498,20.26,2.65000000000003,5.25,0.150000000000034,7,9.60585070921366,1.17905737162907,-0.6502424440624,1.1466484021644
"Radotánské údolí","Ru",14.312,49.99823,290,1,1994,2254,20.09,2.85000000000002,5.45000000000005,0.150000000000034,8,9.9157243786503,1.23705890007481,-0.676781383271259,1.15394452604133
"Haknovec","Hk",14.19022,49.93912,287,1,1995,1608,34.66,-0.149999999999977,1.95000000000005,-2.64999999999998,5,7.23949116501565,-0.626023785104871,0.696689429123857,0.162458375373783
"Císarská rokle","Cr",14.13109,49.92955,270,1,1995,1829,36.08,-0.349999999999966,1.85000000000002,-2.75,6,7.17773165154519,-0.607074378831683,0.735208504494763,0.129729894686919
"Kodská stena","Ks",14.12305,49.93391,350,1,1995,2152,35.63,-0.449999999999989,1.75,-2.84999999999997,7,7.13948758488846,-0.613874535911683,0.719470355024385,0.117817708471303
"Radotánské údolí","Ru",14.312,49.99823,290,1,1995,1940,33.25,-0.149999999999977,1.95000000000005,-2.64999999999998,8,7.23346538994874,-0.65788525290805,0.454177992217593,0.157733424422916
"Haknovec","Hk",14.19022,49.93912,287,1,1996,1190,9.25,-4.04999999999995,-1.34999999999997,-6.14999999999998,5,6.29130233044479,-1.2995681610035,-1.61042441116707,-1.10471695254171
"Císarská rokle","Cr",14.13109,49.92955,270,1,1996,1096,9.84,-4.14999999999998,-1.44999999999999,-6.14999999999998,6,6.1622025543681,-1.33607220906605,-1.5882939850054,-1.11045526206851
"Kodská stena","Ks",14.12305,49.93391,350,1,1996,1311,9.49,-4.04999999999995,-1.34999999999997,-6.04999999999995,7,6.21150019524899,-1.28847844328857,-1.61002167933661,-1.07695341968841
"Radotánské údolí","Ru",14.312,49.99823,290,1,1996,1158,10.17,-3.64999999999998,-1.04999999999995,-5.84999999999997,8,6.39640091616537,-1.24924888965862,-1.52929787300146,-1.00451286079857
"Haknovec","Hk",14.19022,49.93912,287,1,1997,1285,17.46,-5.14999999999998,-2.44999999999999,-9.34999999999997,5,6.90416391498113,-0.864222944503877,-0.864993296299361,-1.46212537836404
