"","sens","driver","vital.rate"
"147",0.193346039047793,"Q","All.cov"
"148",0.224226160435239,"Q","All.cov"
"149",0.193432813557908,"Q","All.cov"
"150",0.167605654910127,"Q","All.cov"
"151",0.166517849076788,"Q","All.cov"
"152",0.183160515053106,"Q","All.cov"
"153",0.151083439349152,"Q","All.cov"
"154",0.17769254552415,"Q","All.cov"
"155",0.213991609255382,"Q","All.cov"
"156",0.144859649267387,"Q","All.cov"
"157",0.197925434859081,"Q","All.cov"
"158",0.222066803900871,"Q","All.cov"
"159",0.239649621263891,"Q","All.cov"
"160",0.197650522660823,"Q","All.cov"
"161",0.166700695965126,"Q","All.cov"
"162",0.160543847463423,"Q","All.cov"
"163",0.175701312997391,"Q","All.cov"
"164",0.101449810671641,"Q","All.cov"
"165",0.180278864504536,"Q","All.cov"
"166",0.134262783337042,"Q","All.cov"
"167",0.253567331343328,"Q","All.cov"
"168",0.201941621767098,"Q","All.cov"
"169",0.179076061120409,"Q","All.cov"
"170",0.141591722923452,"Q","All.cov"
"171",0.159588717537106,"Q","All.cov"
"172",0.243068338691167,"Q","All.cov"
"173",0.144262141512942,"Q","All.cov"
"174",0.116839256419822,"Q","All.cov"
"175",0.180715743502567,"Q","All.cov"
"176",0.18770304495563,"Q","All.cov"
"177",0.174904976026614,"Q","All.cov"
"178",0.222315464797903,"Q","All.cov"
"179",0.166738017555301,"Q","All.cov"
"180",0.212595018422533,"Q","All.cov"
"181",0.130686446323783,"Q","All.cov"
"182",0.129176405238598,"Q","All.cov"
"183",0.194190082516793,"Q","All.cov"
"184",0.174124843866333,"Q","All.cov"
"185",0.206997959237211,"Q","All.cov"
"186",0.248825980369114,"Q","All.cov"
"187",0.145644400595494,"Q","All.cov"
"188",0.160488871643706,"Q","All.cov"
"189",0.152236239808329,"Q","All.cov"
"190",0.166949826179047,"Q","All.cov"
"191",0.205895960138434,"Q","All.cov"
"192",0.125186753029746,"Q","All.cov"
"193",0.194308401684739,"Q","All.cov"
"194",0.18407079088613,"Q","All.cov"
"195",0.18546049803976,"Q","All.cov"
"196",0.149025812177799,"Q","All.cov"
"197",0.164594503565285,"Q","All.cov"
"198",0.168087279413891,"Q","All.cov"
"199",0.129482069053638,"Q","All.cov"
"200",0.165675899653715,"Q","All.cov"
"201",0.00747034896381137,"winter Q","Gj"
"202",0.0112149720075957,"winter Q","Gj"
"203",0.00928226112605333,"winter Q","Gj"
"204",0.00678538883895664,"winter Q","Gj"
"205",0.00852589839938039,"winter Q","Gj"
"206",0.00853190307900762,"winter Q","Gj"
"207",0.00657056130660434,"winter Q","Gj"
"208",0.00491786573288332,"winter Q","Gj"
"209",0.00885919833608702,"winter Q","Gj"
"210",0.00900190847436608,"winter Q","Gj"
"211",0.0126570363023606,"winter Q","Gj"
"212",0.00563601901397327,"winter Q","Gj"
"213",0.013286652198029,"winter Q","Gj"
"214",0.0109297526936118,"winter Q","Gj"
"215",0.00637844687946421,"winter Q","Gj"
"216",0.00889737777586049,"winter Q","Gj"
"217",0.00940036531097104,"winter Q","Gj"
"218",0.0063429352157123,"winter Q","Gj"
"219",0.00619739212522609,"winter Q","Gj"
"220",0.00724172369698939,"winter Q","Gj"
"221",0.00777961046379651,"winter Q","Gj"
"222",0.00274620130168026,"winter Q","Gj"
"223",0.0167674013805943,"winter Q","Gj"
"224",0.00498626227839992,"winter Q","Gj"
"225",0.00935549353388221,"winter Q","Gj"
"226",0.0064766320890264,"winter Q","Gj"
"227",0.00663637121723928,"winter Q","Gj"
"228",0.00767538853176307,"winter Q","Gj"
"229",0.00978148680360321,"winter Q","Gj"
"230",0.00542944316929852,"winter Q","Gj"
"231",0.0114560710229502,"winter Q","Gj"
"232",0.00397749530526123,"winter Q","Gj"
"233",0.00453466759180838,"winter Q","Gj"
"234",0.0069728958195345,"winter Q","Gj"
"235",0.0111553964253526,"winter Q","Gj"
"236",0.00532809354593955,"winter Q","Gj"
"237",0.00957450821725467,"winter Q","Gj"
"238",0.00745718791890962,"winter Q","Gj"
"239",0.00412634767289913,"winter Q","Gj"
"240",0.004284627756135,"winter Q","Gj"
"241",0.0043294129143302,"winter Q","Gj"
"242",0.00933883077414033,"winter Q","Gj"
"243",0.00266478436294295,"winter Q","Gj"
"244",0.00529167106389852,"winter Q","Gj"
"245",0.0108400422205985,"winter Q","Gj"
"246",0.00649430031480584,"winter Q","Gj"
"247",0.0102811048875156,"winter Q","Gj"
"248",0.00942164250323476,"winter Q","Gj"
"249",0.00587695668189282,"winter Q","Gj"
"250",0.0116926740213398,"winter Q","Gj"
"251",0.00249962397428467,"winter Q","Gj"
"252",0.00319813465109484,"winter Q","Gj"
"253",0.00919523683715814,"winter Q","Gj"
"254",0.00456403281001648,"winter Q","Gj"
"255",0.00544572598714654,"winter Q","Gj"
"256",0.0092167669288356,"winter Q","Gj"
"257",0.00646497646059311,"winter Q","Gj"
"258",0.00782513417626191,"winter Q","Gj"
"259",0.0086133470722343,"winter Q","Gj"
"260",0.00973485590238094,"winter Q","Gj"
"261",0.00641105057242237,"winter Q","Gj"
"262",0.00931218820392562,"winter Q","Gj"
"263",0.00563015621782775,"winter Q","Gj"
"264",0.0050246198245433,"winter Q","Gj"
"265",0.00983738744301764,"winter Q","Gj"
"266",0.0069568796340019,"winter Q","Gj"
"267",0.00259313915322625,"winter Q","Gj"
"268",0.00686028461154532,"winter Q","Gj"
"269",0.00658238955476776,"winter Q","Gj"
"270",0.00692651100930966,"winter Q","Gj"
"271",0.00592379100289997,"winter Q","Gj"
"272",0.0074848404121892,"winter Q","Gj"
"273",0.00780314553914897,"winter Q","Gj"
"274",0.00556677504828702,"winter Q","Gj"
"275",0.0113279951744289,"winter Q","Gj"
"276",0.00509059488021338,"winter Q","Gj"
"277",0.0124545627044767,"winter Q","Gj"
"278",0.00513686619504295,"winter Q","Gj"
