"scen","rcp","year","month","densi","densf","Kits","Juveniles","Adults","date","nucleus","run","temp.pert"
"GISS-E2-H","historical",5,5,30,30,0,0,30,"1994-05-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",5,6,30,30,0,0,30,"1994-06-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",5,7,30,30,0,0,30,"1994-07-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",5,8,30,30,0,0,30,"1994-08-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",5,9,30,29,0,0,29,"1994-09-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",5,10,30,29,0,0,29,"1994-10-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",5,11,30,30,0,0,30,"1994-11-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",5,12,30,30,0,0,30,"1994-12-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,1,30,30,0,0,30,"1995-01-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,2,30,30,0,0,30,"1995-02-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,3,30,30,0,0,30,"1995-03-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,4,30,30,0,0,30,"1995-04-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,5,30,29,0,0,29,"1995-05-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,6,30,30,0,0,30,"1995-06-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,7,30,30,0,0,30,"1995-07-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,8,30,30,0,0,30,"1995-08-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,9,30,30,0,0,30,"1995-09-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,10,30,30,0,0,30,"1995-10-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,11,30,30,0,0,30,"1995-11-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",6,12,30,30,0,0,30,"1995-12-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,1,30,30,0,0,30,"1996-01-05","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,2,30,30,0,0,30,"1996-02-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,3,30,30,0,0,30,"1996-03-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,4,30,30,0,0,30,"1996-04-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,5,30,30,0,0,30,"1996-05-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,6,30,30,0,0,30,"1996-06-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,7,30,30,0,0,30,"1996-07-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,8,30,29,0,0,29,"1996-08-04","Donana-Aljarafe",1,"min"
"GISS-E2-H","historical",7,9,30,30,0,0,30,"1996-09-04","Donana-Aljarafe",1,"min"
