"Nucleus","Total.area..km2.","lynx_size"
"Vale do Guadiana",636,261
"Donana-Aljarafe",549,108
"Montes de Toledo",1068,272
"Matachel",138,138
"Ortiga",79,23
"Valdeciguenas-Rio Sotillo",35,11
"Setefilla-Las Minas",63,26
"Valdecanas-Ibores",21,23
"Sierra Morena",2489,782
