Nucleus;Total area (km2);lynx_size
Vale do Guadiana;636;12
Donana-Aljarafe;549;74
Montes de Toledo;1068;23
Matachel;138;28
Ortiga;79;0
Valdeciguenas-Rio Sotillo;35;0
Setefilla-Las Minas;63;0
Valdecanas-Ibores;21;0
Sierra Morena;2489;339
