"population","focal_cov","focal_min_max","other_mean_obs","projection","lambda","focal_full","scenario","focal_scenario","other_scenario"
"SierraRetinY5","fallR","min","obs",16,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"Vertedero","fallR","min","obs",16,0.90991551882491,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","prevfallR","min","obs",16,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraRetinY5","prevfallR","min","obs",16,1.08778021415692,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"Vertedero","prevfallR","min","obs",16,0.98614397921186,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","dens","min","obs",16,0.576139683134363,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraRetinY5","dens","min","obs",16,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"Vertedero","dens","min","obs",16,0.987147580000459,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraCarboneraY5","size","min","obs",16,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraRetinY5","size","min","obs",16,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"Vertedero","size","min","obs",16,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraCarboneraY5","TSF","min","obs",16,0.754321000791463,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"SierraRetinY5","TSF","min","obs",16,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"Vertedero","TSF","min","obs",16,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"SierraCarboneraY5","summerT","max","obs",16,0.758973298614545,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"SierraRetinY5","summerT","max","obs",16,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"Vertedero","summerT","max","obs",16,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"SierraCarboneraY5","prevwinterT","max","obs",16,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"SierraRetinY5","prevwinterT","max","obs",16,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"Vertedero","prevwinterT","max","obs",16,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"SierraCarboneraY5","fallR","max","obs",16,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"SierraRetinY5","fallR","max","obs",16,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"Vertedero","fallR","max","obs",16,0.983765495890735,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"SierraCarboneraY5","prevfallR","max","obs",16,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
"SierraRetinY5","prevfallR","max","obs",16,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
"Vertedero","prevfallR","max","obs",16,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
"SierraCarboneraY5","dens","max","obs",16,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = obs value","Aboveground density of
large individuals = max value","obs value"
"SierraRetinY5","dens","max","obs",16,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = obs value","Aboveground density of
large individuals = max value","obs value"
"Vertedero","dens","max","obs",16,0.992851778030635,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = obs value","Aboveground density of
large individuals = max value","obs value"
"SierraCarboneraY5","size","max","obs",16,1.03808544945012,"Size","Focal covariate = Size (max value) 
Other covariates = obs value","Size = max value","obs value"
"SierraRetinY5","size","max","obs",16,Inf,"Size","Focal covariate = Size (max value) 
Other covariates = obs value","Size = max value","obs value"
"Vertedero","size","max","obs",16,Inf,"Size","Focal covariate = Size (max value) 
Other covariates = obs value","Size = max value","obs value"
"SierraCarboneraY5","TSF","max","obs",16,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = obs value","Time Since Fire = max value","obs value"
"SierraRetinY5","TSF","max","obs",16,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = obs value","Time Since Fire = max value","obs value"
"Vertedero","TSF","max","obs",16,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = obs value","Time Since Fire = max value","obs value"
"SierraCarboneraY5","summerT","min","mean",17,1.0264928844913,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"SierraRetinY5","summerT","min","mean",17,0.961420938737579,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"Vertedero","summerT","min","mean",17,0.938605978265073,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"SierraCarboneraY5","prevwinterT","min","mean",17,1.01732334028962,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"SierraRetinY5","prevwinterT","min","mean",17,1.06607620157138,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"Vertedero","prevwinterT","min","mean",17,1.00041978874022,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"SierraCarboneraY5","fallR","min","mean",17,0.933384497593019,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"SierraRetinY5","fallR","min","mean",17,1.0325648114944,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"Vertedero","fallR","min","mean",17,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"SierraCarboneraY5","prevfallR","min","mean",17,0.989916340258636,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"SierraRetinY5","prevfallR","min","mean",17,1.06020837537282,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"Vertedero","prevfallR","min","mean",17,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"SierraCarboneraY5","dens","min","mean",17,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"SierraRetinY5","dens","min","mean",17,1.02996336347422,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"Vertedero","dens","min","mean",17,0.798566389477215,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"SierraCarboneraY5","size","min","mean",17,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"SierraRetinY5","size","min","mean",17,0.950300328964703,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"Vertedero","size","min","mean",17,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"SierraCarboneraY5","TSF","min","mean",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = mean value","Time Since Fire = min value","mean value"
"SierraRetinY5","TSF","min","mean",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = mean value","Time Since Fire = min value","mean value"
"Vertedero","TSF","min","mean",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = mean value","Time Since Fire = min value","mean value"
"SierraCarboneraY5","summerT","max","mean",17,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = mean value","Next summer mean max.
daily temperature = max value","mean value"
"SierraRetinY5","summerT","max","mean",17,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = mean value","Next summer mean max.
daily temperature = max value","mean value"
"Vertedero","summerT","max","mean",17,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = mean value","Next summer mean max.
daily temperature = max value","mean value"
"SierraCarboneraY5","prevwinterT","max","mean",17,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = max value","mean value"
"SierraRetinY5","prevwinterT","max","mean",17,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = max value","mean value"
"Vertedero","prevwinterT","max","mean",17,0.632272839714196,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = max value","mean value"
"SierraCarboneraY5","fallR","max","mean",17,1.04691080842515,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = mean value","Next fall cumulative
rainfall = max value","mean value"
"SierraRetinY5","fallR","max","mean",17,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = mean value","Next fall cumulative
rainfall = max value","mean value"
"Vertedero","fallR","max","mean",17,0.850503887000944,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = mean value","Next fall cumulative
rainfall = max value","mean value"
"SierraCarboneraY5","prevfallR","max","mean",17,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = mean value","Previous fall cumulative
rainfall = max value","mean value"
"SierraRetinY5","prevfallR","max","mean",17,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = mean value","Previous fall cumulative
rainfall = max value","mean value"
"Vertedero","prevfallR","max","mean",17,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = mean value","Previous fall cumulative
rainfall = max value","mean value"
"SierraCarboneraY5","dens","max","mean",17,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = mean value","Aboveground density of
large individuals = max value","mean value"
"SierraRetinY5","dens","max","mean",17,1.02512052338229,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = mean value","Aboveground density of
large individuals = max value","mean value"
"Vertedero","dens","max","mean",17,0.815326703987766,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = mean value","Aboveground density of
large individuals = max value","mean value"
"SierraCarboneraY5","size","max","mean",17,1.01854394976649,"Size","Focal covariate = Size (max value) 
Other covariates = mean value","Size = max value","mean value"
"SierraRetinY5","size","max","mean",17,0.977300958397533,"Size","Focal covariate = Size (max value) 
Other covariates = mean value","Size = max value","mean value"
"Vertedero","size","max","mean",17,0.998268426530386,"Size","Focal covariate = Size (max value) 
Other covariates = mean value","Size = max value","mean value"
"SierraCarboneraY5","TSF","max","mean",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = mean value","Time Since Fire = max value","mean value"
"SierraRetinY5","TSF","max","mean",17,0.974370536961702,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = mean value","Time Since Fire = max value","mean value"
"Vertedero","TSF","max","mean",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = mean value","Time Since Fire = max value","mean value"
"SierraCarboneraY5","summerT","min","obs",17,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = obs value","Next summer mean max.
daily temperature = min value","obs value"
"SierraRetinY5","summerT","min","obs",17,0.639075176585848,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = obs value","Next summer mean max.
daily temperature = min value","obs value"
"Vertedero","summerT","min","obs",17,1.00435725764523,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = obs value","Next summer mean max.
daily temperature = min value","obs value"
"SierraCarboneraY5","prevwinterT","min","obs",17,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = min value","obs value"
"SierraRetinY5","prevwinterT","min","obs",17,1.08176403240382,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = min value","obs value"
"Vertedero","prevwinterT","min","obs",17,0.999605186986325,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = min value","obs value"
"SierraCarboneraY5","fallR","min","obs",17,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"SierraRetinY5","fallR","min","obs",17,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"Vertedero","fallR","min","obs",17,0.862760375961883,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","prevfallR","min","obs",17,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraRetinY5","prevfallR","min","obs",17,1.08965948055482,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"Vertedero","prevfallR","min","obs",17,0.989951928318038,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","dens","min","obs",17,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraRetinY5","dens","min","obs",17,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"Vertedero","dens","min","obs",17,0.992181369003665,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraCarboneraY5","size","min","obs",17,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraRetinY5","size","min","obs",17,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"Vertedero","size","min","obs",17,0.687752511602228,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraCarboneraY5","TSF","min","obs",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"SierraRetinY5","TSF","min","obs",17,0.640324776648313,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"Vertedero","TSF","min","obs",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"SierraCarboneraY5","summerT","max","obs",17,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"SierraRetinY5","summerT","max","obs",17,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"Vertedero","summerT","max","obs",17,0.83574982410763,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = obs value","Next summer mean max.
daily temperature = max value","obs value"
"SierraCarboneraY5","prevwinterT","max","obs",17,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"SierraRetinY5","prevwinterT","max","obs",17,0.789209327979618,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"Vertedero","prevwinterT","max","obs",17,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = max value","obs value"
"SierraCarboneraY5","fallR","max","obs",17,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"SierraRetinY5","fallR","max","obs",17,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"Vertedero","fallR","max","obs",17,0.9821916448175,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = obs value","Next fall cumulative
rainfall = max value","obs value"
"SierraCarboneraY5","prevfallR","max","obs",17,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
"SierraRetinY5","prevfallR","max","obs",17,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
"Vertedero","prevfallR","max","obs",17,0.67750674129827,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = obs value","Previous fall cumulative
rainfall = max value","obs value"
"SierraCarboneraY5","dens","max","obs",17,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = obs value","Aboveground density of
large individuals = max value","obs value"
"SierraRetinY5","dens","max","obs",17,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = obs value","Aboveground density of
large individuals = max value","obs value"
"Vertedero","dens","max","obs",17,0.9873429404047,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = obs value","Aboveground density of
large individuals = max value","obs value"
"SierraCarboneraY5","size","max","obs",17,1.03325092795167,"Size","Focal covariate = Size (max value) 
Other covariates = obs value","Size = max value","obs value"
"SierraRetinY5","size","max","obs",17,Inf,"Size","Focal covariate = Size (max value) 
Other covariates = obs value","Size = max value","obs value"
"Vertedero","size","max","obs",17,Inf,"Size","Focal covariate = Size (max value) 
Other covariates = obs value","Size = max value","obs value"
"SierraCarboneraY5","TSF","max","obs",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = obs value","Time Since Fire = max value","obs value"
"SierraRetinY5","TSF","max","obs",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = obs value","Time Since Fire = max value","obs value"
"Vertedero","TSF","max","obs",17,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = obs value","Time Since Fire = max value","obs value"
"SierraCarboneraY5","summerT","min","mean",18,1.02658303981119,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"SierraRetinY5","summerT","min","mean",18,0.967331620801087,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"Vertedero","summerT","min","mean",18,0.942168822880575,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"SierraCarboneraY5","prevwinterT","min","mean",18,1.02636320440026,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"SierraRetinY5","prevwinterT","min","mean",18,1.06247127729712,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"Vertedero","prevwinterT","min","mean",18,1.01278350848049,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"SierraCarboneraY5","fallR","min","mean",18,0.95726026703579,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"SierraRetinY5","fallR","min","mean",18,0.92676816491174,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"Vertedero","fallR","min","mean",18,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"SierraCarboneraY5","prevfallR","min","mean",18,0.961359613161963,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"SierraRetinY5","prevfallR","min","mean",18,1.06395457473766,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"Vertedero","prevfallR","min","mean",18,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"SierraCarboneraY5","dens","min","mean",18,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"SierraRetinY5","dens","min","mean",18,1.00922347521036,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"Vertedero","dens","min","mean",18,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"SierraCarboneraY5","size","min","mean",18,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"SierraRetinY5","size","min","mean",18,0.932815864831331,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"Vertedero","size","min","mean",18,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"SierraCarboneraY5","TSF","min","mean",18,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = mean value","Time Since Fire = min value","mean value"
"SierraRetinY5","TSF","min","mean",18,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = mean value","Time Since Fire = min value","mean value"
"Vertedero","TSF","min","mean",18,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = mean value","Time Since Fire = min value","mean value"
"SierraCarboneraY5","summerT","max","mean",18,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = mean value","Next summer mean max.
daily temperature = max value","mean value"
"SierraRetinY5","summerT","max","mean",18,0.81937407488279,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = mean value","Next summer mean max.
daily temperature = max value","mean value"
"Vertedero","summerT","max","mean",18,0.850454826648015,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (max value) 
Other covariates = mean value","Next summer mean max.
daily temperature = max value","mean value"
"SierraCarboneraY5","prevwinterT","max","mean",18,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = max value","mean value"
"SierraRetinY5","prevwinterT","max","mean",18,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = max value","mean value"
"Vertedero","prevwinterT","max","mean",18,0.660163102055258,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (max value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = max value","mean value"
"SierraCarboneraY5","fallR","max","mean",18,1.04656020075954,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = mean value","Next fall cumulative
rainfall = max value","mean value"
"SierraRetinY5","fallR","max","mean",18,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = mean value","Next fall cumulative
rainfall = max value","mean value"
