"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.139707485979773,0,1.9,10,49,1,0,0,20,0.725269062104632
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00811214842919213,0,1.9,10,49,1,0,0,20,0.105495977027018
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.09301709659394,0,1.9,10,49,1,0,0,20,0.927895191089098
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.191999109001822,0,1.9,10,49,1,0,0,20,2.4385842802957
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0149841082496159,0,1.9,10,49,1,0,0,20,0.198992347836847
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.177852985560911,0,1.9,10,49,1,0,0,20,1.48787189372919
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0222702804220751,0,1.9,10,49,1,0,0,20,0.254097493205079
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0748071314206357,0,1.9,10,49,1,0,0,20,0.952303471667182
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.211727925074166,0,1.9,10,49,1,0,0,20,1.29187084853174
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.223811698199903,0,1.9,10,49,1,0,0,20,1.94311725162681
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.188912339536886,0,1.9,10,49,1,0,0,20,1.34901608229556
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.134677670154051,0,1.9,10,49,1,0,0,20,1.10938865551418
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.2886503654718,0,1.9,10,49,1,0,0,20,5.53196985332527
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0532213625031329,0,1.9,10,49,1,0,0,20,0.601433993876386
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.194922789396487,0,1.9,10,49,1,0,0,20,1.58738553549544
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0360125078030709,0,1.9,10,49,1,0,0,20,0.440104508463766
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00423695415041534,0,1.9,10,49,1,0,0,20,0.027672291158228
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.119844938171633,0,1.9,10,49,1,0,0,20,1.26716772192719
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.275040741183772,0,1.9,10,49,1,0,0,20,5.45538167617855
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.110789092654708,0,1.9,10,49,1,0,0,20,0.485985688524796
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.196796010657938,0,1.9,10,49,1,0,0,20,1.29566236757445
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.075857080047193,0,1.9,10,49,1,0,0,20,0.752125811198832
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.231357993351497,0,1.9,10,49,1,0,0,20,1.71153370668936
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.219578114295032,0,1.9,10,49,1,0,0,20,1.50865069880048
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0276541568979925,0,1.9,10,49,1,0,0,20,0.335881321194193
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0987560692099005,0,1.9,10,49,1,0,0,20,0.640787359054813
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0573749631434009,0,1.9,10,49,1,0,0,20,0.636517237941628
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.041476701059366,0,1.9,10,49,1,0,0,20,0.573330788250034
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0172479754574189,0,1.9,10,49,1,0,0,20,0.148440003991013
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00888121617368325,0,1.9,10,49,1,0,0,20,0.10413225570028
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.086742197453261,0,1.9,10,49,1,0,0,20,1.2419850714747
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0106794655099491,0,1.9,10,49,1,0,0,20,0.0424895590206864
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.197063892605457,0,1.9,10,49,1,0,0,20,2.80153988666684
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0926360739907081,0,1.9,10,49,1,0,0,20,1.62581825300916
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0341757312568794,0,1.9,10,49,1,0,0,20,0.386626316313651
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0334932510572333,0,1.9,10,49,1,0,0,20,0.323761320709733
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.155004729612458,0,1.9,10,49,1,0,0,20,1.00324854491165
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.24035517211761,0,1.9,10,49,1,0,0,20,1.85334465904119
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.133327521241084,0,1.9,10,49,1,0,0,20,1.6603713593456
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00399775567632486,0,1.9,10,49,1,0,0,20,0.0513910884555185
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.198954086811987,0,1.9,10,49,1,0,0,20,2.07450321647113
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.163788696286911,0,1.9,10,49,1,0,0,20,2.86872179773244
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.227808671908236,0,1.9,10,49,1,0,0,20,2.95868241702849
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.135242228981422,0,1.9,10,49,1,0,0,20,0.78196758441315
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.150338868306116,0,1.9,10,49,1,0,0,20,1.2318286059324
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.209925380738368,0,1.9,10,49,1,0,0,20,2.59190882493159
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.240269072574333,0,1.9,10,49,1,0,0,20,1.7769859456918
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.22833802942122,0,1.9,10,49,1,0,0,20,1.85114682341516
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.141511634708325,0,1.9,10,49,1,0,0,20,1.15347399913038
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.116677247589663,0,1.9,10,49,1,0,0,20,0.688617033423496
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.161223853463212,0,1.9,10,49,1,0,0,20,0.875166956783394
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00385879804553335,0,1.9,10,49,1,0,0,20,0.048491552169647
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0661047884501617,0,1.9,10,49,1,0,0,20,0.396582951700949
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0402248548265527,0,1.9,10,49,1,0,0,20,0.590999840676787
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.122835417187092,0,1.9,10,49,1,0,0,20,0.929121258919269
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0786600439978054,0,1.9,10,49,1,0,0,20,0.364257073484864
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.228689441347067,0,1.9,10,49,1,0,0,20,2.97524157050852
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.121491424281878,0,1.9,10,49,1,0,0,20,0.539071146945637
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00355992733232103,0,1.9,10,49,1,0,0,20,0.0448258104625158
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.135681846844016,0,1.9,10,49,1,0,0,20,1.56734070311882
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.220118768596661,0,1.9,10,49,1,0,0,20,3.15387809771365
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.102376477532772,0,1.9,10,49,1,0,0,20,0.993159502823522
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0508400727828385,0,1.9,10,49,1,0,0,20,0.384466551668887
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.247637791272637,0,1.9,10,49,1,0,0,20,2.41475173984696
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0736579669454732,0,1.9,10,49,1,0,0,20,0.691379744085265
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.263778699123328,0,1.9,10,49,1,0,0,20,3.67457082758429
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0544678019354432,0,1.9,10,49,1,0,0,20,0.653481778839
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0191376791072244,0,1.9,10,49,1,0,0,20,0.250560189200877
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.151077149901967,1,1.9,10,49,1,0,0,20,1.12161358491744
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.248850737307668,1,1.9,10,49,1,0,0,20,2.02534045036819
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0661401626171709,1,1.9,10,49,1,0,0,20,0.694035336231445
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0814370981663761,1,1.9,10,49,1,0,0,20,0.958160913978838
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.112035012991501,1,1.9,10,49,1,0,0,20,0.555852696517613
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0092454644541437,1,1.9,10,49,1,0,0,20,0.097594373898181
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0456273791068133,1,1.9,10,49,1,0,0,20,0.487104159534562
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.106341823334887,1,1.9,10,49,1,0,0,20,0.458324679371713
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.118962870487412,1,1.9,10,49,1,0,0,20,0.652112963485004
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0141105690282423,1,1.9,10,49,1,0,0,20,0.115436953983698
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.115533256719739,1,1.9,10,49,1,0,0,20,0.700925888612274
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0623182486505642,1,1.9,10,49,1,0,0,20,0.496264296881287
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.223528123058979,1,1.9,10,49,1,0,0,20,1.46677633769461
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0882838400000756,1,1.9,10,49,1,0,0,20,0.860989497006358
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0373227179393651,1,1.9,10,49,1,0,0,20,0.24469772227846
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0484388776285797,1,1.9,10,49,1,0,0,20,0.253444513238833
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.227048734408846,1,1.9,10,49,1,0,0,20,1.5486335881814
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0552308919197006,1,1.9,10,49,1,0,0,20,0.209877570228177
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.269994475548697,1,1.9,10,49,1,0,0,20,3.0374539086453
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.245983874141125,1,1.9,10,49,1,0,0,20,2.76728856265978
