"","sens.no.cov","sens.with.cov","driver"
"1",0.220319280303192,0.192839572599202,"temp"
"2",0.301099127213102,0.245907887337941,"temp"
"3",0.366616902658322,0.281350058282521,"temp"
"4",0.26139687728879,0.211475577833835,"temp"
"5",0.276042547236192,0.147943909151892,"temp"
"6",0.32901071587326,0.195240968644086,"temp"
"7",0.324936721187202,0.265102710444319,"temp"
"8",0.19180117152235,0.0674206742840987,"temp"
"9",0.270450699587567,0.183653364098187,"temp"
"10",0.27681279333175,0.200757131289689,"temp"
"11",0.263991194111687,0.167489628684332,"temp"
"12",0.22628779754428,0.190173527710382,"temp"
"13",0.188304856324573,0.088739679371194,"temp"
"14",0.286985130174171,0.219765304151217,"temp"
"15",0.272085073543676,0.14717241387014,"temp"
"16",0.259566754858361,0.168219389042212,"temp"
"17",0.18759209205824,0.00714025495646886,"temp"
"18",0.233818607748342,0.156848600766436,"temp"
"19",0.289392619997986,0.201252748288597,"temp"
"20",0.318374132546694,0.190399088404284,"temp"
"21",0.236182989493678,0.186366615675459,"temp"
"22",0.266135942822133,0.2001086669128,"temp"
"23",0.255729858015384,0.15238211310025,"temp"
"24",0.320524295464783,0.230598008480172,"temp"
"25",0.275968299252094,0.223315056540915,"temp"
"26",0.284440701835109,0.243740152492596,"temp"
"27",0.330542478698845,0.256889483323797,"temp"
"28",0.267644130186804,0.189050970064065,"temp"
"29",0.243637266107592,0.197816050077937,"temp"
"30",0.315816909182513,0.265201649648755,"temp"
"31",0.332398056580363,0.227299175069457,"temp"
"32",0.329029785481524,0.22587047901188,"temp"
"33",0.289424782914803,0.254746609137116,"temp"
"34",0.222568800941936,0.139873545185836,"temp"
"35",0.266996705478939,0.2135359698562,"temp"
"36",0.319416970980299,0.275147620402752,"temp"
"37",0.235353274698689,0.128273735509415,"temp"
"38",0.314795098369194,0.235800138366723,"temp"
"39",0.301301904168252,0.227881223448951,"temp"
"40",0.29500977271495,0.251258414448434,"temp"
"41",0.343411755022166,0.254291089219998,"temp"
"42",0.252500824542413,0.171392819981147,"temp"
"43",0.255680727821637,0.161917496891278,"temp"
"44",0.234163805572999,0.161557571356666,"temp"
"45",0.20354221155093,0.114093858142029,"temp"
"46",0.257628972768999,0.220022904970632,"temp"
"47",0.340876616279187,0.257455125520214,"temp"
"48",0.201972586585436,0.127166289146071,"temp"
"49",0.23729113140821,0.1737018503248,"temp"
"50",0.282897161288583,0.231293235954018,"temp"
"51",0.278044747599298,0.202002281765278,"temp"
"52",0.270750600810023,0.204592170200833,"temp"
"53",0.318112864998066,0.282745208349724,"temp"
