"","p.delta.SAM","p.delta.DensS","p.delta.DensP","p.delta.SST","p.delta.Chla","p.deltaSAM.cov","p.deltaDensS.cov","p.delta.DensP.cov","p.delta.SST.cov","p.delta.Chla.cov"
"1",0.00567821443569426,0.0150807902106023,0.0259991782939083,0.00328204982337908,0.0308628870281804,0.0260949490030923,0.0100018466942347,0.0254979261943386,0.00393183012778049,0.0254955482019762
"2",0.00354121745238519,0.0151167418854752,0.0258425071312634,0.00640274308453735,0.0281586893310987,0.0243150796829323,0.0112890795128362,0.0250831307702208,0.000365727072764594,0.0214152227520411
"3",0.00486629607601807,0.0148627171423635,0.025791272745005,0.00736383760047708,0.0269526351990289,0.0240402076149504,0.0124370289334071,0.0247917870434038,0.000909437987461097,0.0210689817446079
"4",0.00757427379835678,0.0149186085074314,0.0257533458154207,0.0055673708888728,0.0301384973686901,0.0263803338000959,0.0117807977588648,0.0247597126131493,0.001948020145253,0.0238782980300923
"5",0.00813633435874256,0.0148168702830598,0.02584504916747,0.00595465606101185,0.0305094941072734,0.0265534128712411,0.0115745253159961,0.0248368509534755,0.00158888549706373,0.023559850368243
"6",0.00728988877747988,0.0149041538263394,0.0259188063844557,0.00520955779550068,0.0299498343019397,0.025888025414091,0.0104082001760567,0.0246561306031692,0.00183602883364892,0.0240310556886444
"7",0.00825603663682215,0.0151449524800659,0.0259188441751863,0.00499247765324634,0.031766882198156,0.0266396482816958,0.0108447891426584,0.0246669354265053,0.00245656333563375,0.0255511356007346
"8",0.00632839667009241,0.0147250311054196,0.0256454869802644,0.00655233530748359,0.0310233461906932,0.0253920876618816,0.0114056043723411,0.0246392837412965,0.000529462903614403,0.0234687680706114
"9",0.00722165074341003,0.0149652473100542,0.025710735805477,0.00758752945923437,0.0317324572604067,0.0260326346551571,0.0125889890909987,0.0245471258385171,0.000171655996767739,0.0241682831239197
"10",0.00362438434225933,0.0148743044741873,0.0256438338109575,0.0078011416811469,0.0281380218447273,0.0234045701140955,0.0113383855951541,0.0243236988414234,0.00164629153915577,0.0202701531251616
