"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00499247765324634,0.00245656333563375
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00655233530748359,0.000529462903614403
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00758752945923437,0.000171655996767739
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.0078011416811469,0.00164629153915577
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0308628870281804,0.0254955482019762
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0281586893310987,0.0214152227520411
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0269526351990289,0.0210689817446079
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0301384973686901,0.0238782980300923
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0305094941072734,0.023559850368243
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0299498343019397,0.0240310556886444
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.031766882198156,0.0255511356007346
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0310233461906932,0.0234687680706114
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0317324572604067,0.0241682831239197
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0281380218447273,0.0202701531251616
