"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.31766081029545e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.29095399397315e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.34950541289249e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.4863512553735e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.71831092891724e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.77509012726379e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.61114957116822e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.603204767178e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.07278345716149e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.62610553386791e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.25561817934686e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.34761037997719e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.55454541612436e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.56018445450511e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.38341712470376e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.65274504952375e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.37977460832116e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",1.9004644020079e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.80880632140237e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.38080647306808e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.12427857485579e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.68826756011525e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.5514424086419e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.58164705271814e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.64087050103925e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.98123515920731e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.13812301789522e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.11918279624757e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.81142854849656e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.8590120480727e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.17525354327315e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.92318255331854e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.48085656658412e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",3.70354576101861e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.89848908560475e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",5.50448542524141e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",4.57364879777598e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
