"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",2.11073828413279e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",2.92868690407427e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.25315165113705e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.46253476289132e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.86033886114202e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",2.98761443879837e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.7876285038597e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.79239727628373e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.67933143067056e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.20633448642248e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.92280226344773e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.25619963064677e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.73728948040216e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.59747553783674e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.7224902196106e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.82369117933827e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.32830799061468e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.83764540299309e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.93987208857857e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.20325065704657e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.11546542027384e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.0006188981277e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.96370130059224e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.81481880950494e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.19519431016789e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",2.67269478781216e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",2.35422762815468e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.09947921428297e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.95005118862654e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.33394396640249e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.69456529723361e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.63560621395512e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.18168235304368e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",5.2344935298703e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.87586889157952e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.50191943053591e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.79575635673391e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.12448235735551e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",5.10985793578633e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",5.22231518217766e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.85456028506077e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",5.58432284057167e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",6.62540304789078e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.5486409002126e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.03946528481126e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.81810277940909e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.45526884499858e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.50732541040105e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.12172407288953e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",3.33336630221715e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",2.70412626950421e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",2.31552953914091e-05,2.8,3,12,0,0,1,37
"Spheniscus magellanicus","10.1073/pnas.2209821120",2022,"Birds","South America","SSTA_b","C","adult","survival",4.44776790293367e-05,2.8,3,12,0,0,1,37
