"","Month","Year","sum_prcp","mean_tavg","mean_tmin","mean_tmax","min_tmin","max_tmax","SPEI"
"1",1,1985,-1.04159576824788,-0.343885687529403,-0.530398260095057,0.0871630137281193,-0.588898053357683,-0.387504114596944,NA
"2",2,1985,-0.394786218718358,-0.115080532539102,-0.739247321273498,-0.0986502256165676,-0.85758216719224,-0.0906476961328149,NA
"3",3,1985,2.48936861991672,-0.229483110034252,0.74789855245453,-0.198653269308682,0.995122580565013,-1.13915566939026,NA
"4",4,1985,0.0894742412240653,-0.172281821286677,1.10689994954919,0.413097330125461,0.866241005282027,-0.829688938761373,NA
"5",5,1985,0.454841719021642,-0.200882465660465,1.02058076111834,0.0473739142480148,1.39744645428228,-1.04947300269664,NA
"6",6,1985,-0.636584220212839,-0.186582143473571,-1.05022516410841,-0.55634164646891,0.202830414659499,-1.47540741795309,NA
"7",7,1985,-0.268075762622683,-1.39624657266246,-1.50086483924972,-1.08535240350244,-0.902139147089194,-1.23206318860992,NA
"8",8,1985,-1.26740339179666,-1.71228530009212,-2.13331418191421,0.137117407386959,-1.52010510910589,-0.623783058241718,NA
"9",9,1985,1.80607343243107,-3.80127510885333,-0.916516803175763,-2.20468302036264,-0.159664223557511,-0.708145516174228,NA
"10",10,1985,1.0799975422335,-1.46503737537913,0.743877493375356,-3.76508582704539,2.26112118062216,-4.57986061389248,NA
"11",11,1985,2.67967879841135,-0.801495997510005,-0.314182216861186,2.78250959512513,-0.837900045957396,5.06715187473646,NA
"12",12,1985,-0.203921028559162,0.113724622451199,0.0893464836318078,4.51091849810742,-0.0161208410207721,5.28338015284539,2.22690969176156
"13",1,1986,-1.04389398686361,0.860600999130317,0.626025294929027,3.55532205978473,1.05558196842505,5.25982190460502,2.18636901845194
"14",2,1986,2.25639785290014,-1.0330606318646,-0.799284607446993,3.31958306500212,-4.70180665065097,5.26726840127043,2.2813807942793
"15",3,1986,-0.48910042252758,0.321446178265734,0.281936572201476,0.843825117314046,0.37079352437362,0.837762989716142,2.23426080928147
"16",4,1986,0.847263903533749,-0.436398379645008,-0.464039796953771,-0.419103891617856,-0.918629760086626,-0.371583799003988,2.3873198397966
"17",5,1986,0.28108196119315,-0.877372412492705,-1.3816510879224,-0.675985782604819,-1.01404967935464,-0.992864290004074,2.32426202199549
"18",6,1986,0.951828389456407,-0.476774277848815,-0.304528293786257,-0.388734343278381,-0.030239046890707,-0.730810890279995,2.20892505935967
"19",7,1986,0.315837090819506,-1.52874118850056,-1.16031180527471,-1.02329418610066,-0.400398590262438,-1.36476864371749,2.11817991618781
"20",8,1986,-0.0867135688974909,-0.774926716892018,-0.894595992298232,-0.568461193061781,-0.579421761199912,0.737952030660688,1.98215677253857
"21",9,1986,1.51030653230891,-1.59006901370883,-1.78301012225309,-2.5093963159924,-0.775526617883214,-0.768588771905446,1.85123871407635
"22",10,1986,1.31554771502161,-1.45754281005581,-1.34939535491985,-1.24219194686818,-0.815998640949054,-0.986392869467004,1.90039541581717
"23",11,1986,0.646405618960333,-0.662316298502798,-0.658686683236669,-0.529516368574036,-0.702527674408778,-0.536492795040838,1.70408334602305
"24",12,1986,-1.09621311466186,-1.19054897835378,-1.15563575925193,-0.801562282417041,-4.77257829276993,-0.67732736304212,1.30070217632019
"25",1,1987,0.0661456045339788,-0.832993543007419,-0.922744921206617,-0.755125765936098,-0.253702699641474,-0.0400128238347585,1.46659848841835
"26",2,1987,-0.331239141258662,-0.492417132122416,-0.424794135971114,-0.519363549184218,0.273372514822226,-0.123974267050035,1.04050387691192
"27",3,1987,0.223451979971057,-1.49516028416313,-1.75392017672806,-1.13839423329806,-1.2396091883835,1.34204035158212,1.08613017522434
"28",4,1987,-0.95201992520156,-0.104383507589831,-0.352386970252517,0.250735538439314,-0.170204018313599,0.431647859665877,0.890822573224516
"29",5,1987,-0.758069531702737,-1.06822058066023,-0.735302424507738,-1.14959430059929,0.626597745826928,-0.992864290004074,0.758169460918568
"30",6,1987,1.66243403062423,-0.405524793015703,-0.409441777003568,-0.125963999332135,0.756862592534539,-0.578716172890203,0.79156794945861
"31",7,1987,-1.46333361698421,-0.594386458604109,-0.989924557660188,-0.078002315183678,-0.554126175548772,0.675747203717049,0.482844553445687
"32",8,1987,1.87399877237911,-0.907720853753382,-1.13192731926866,-0.861065234662139,-1.50064856344416,0.336217375300444,0.756942449401376
"33",9,1987,-1.52224016514612,-0.699110676836712,-1.05034508411019,-0.203083719894358,0.355889086799088,0.5006278344165,0.208470653976065
"34",10,1987,-0.239083425379935,-0.979672268204826,0.35742036148491,-1.01063504358446,0.710816537693153,-0.56975892808434,-0.146291297300314
"35",11,1987,-0.863726948282016,-1.0258913503053,-1.06028448792554,-0.813393199545169,-0.431782931311539,-0.483752609913523,-0.493934324282183
"36",12,1987,-0.14756573891057,-1.4038117691011,-1.48486188037611,-1.22219243862837,-0.364154313099979,0.144839190873398,-0.153444496828256
"37",1,1988,1.11643151192258,-1.92773305504525,-1.99702826203525,-2.06241308174371,-1.6587886848836,-0.305004560256748,0.197041276435832
