"","id","Month","Year","sum_prcp","mean_tavg","mean_tmin","mean_tmax","min_tmin","max_tmax","SPEI"
"1","USC00058184",1,1965,0.203975454508352,0.916080437557314,1.05540588718839,0.475006723505018,0.52655602810122,0.546637989921197,NA
"2","USC00058184",2,1965,-0.204018229018188,-0.647242866789933,-0.853277215219838,0.0219436534529408,-0.326405794968411,0.194968909292366,NA
"3","USC00058184",3,1965,1.90573172476463,-1.1094161688264,-0.469359656091353,-2.03942503826733,-1.87338691495259,-0.952454745021643,NA
"4","USC00058184",4,1965,0.0810781002290749,0.10131462432124,0.229876069262831,-0.138759948511102,-0.19085373806291,0.43766775031891,NA
"5","USC00058184",5,1965,-0.328774075548545,-0.982413480587495,-0.627315472107889,-1.1003201888947,0.192850128611186,-0.476495632116183,NA
"6","USC00058184",6,1965,1.40497139285936,-1.5851265222214,-0.995405470862478,-1.58423515896005,0.156407995820296,-1.52536710519754,NA
"7","USC00058184",7,1965,0.825755122341034,-0.370836056825802,0.152956844232468,-0.890935709889446,-0.500521275326674,-1.88565429626798,NA
"8","USC00058184",8,1965,0.503884374535361,-0.872885698532064,-0.538330468508868,-0.767859476967024,-0.0829085377764529,0.553607321858526,NA
"9","USC00058184",9,1965,0.260897427124482,-1.31931428171857,-0.289384926340419,-2.20205138523905,-0.272341634924967,-2.88392436351668,NA
"10","USC00058184",10,1965,-0.551873371928851,1.16918688898207,0.324877319479358,1.60495314649857,1.52656703349998,0.772701963292129,NA
"11","USC00058184",11,1965,1.7469196530181,1.41083577189345,1.66400738591218,0.833766326487619,0.786697413254821,0.999264469474271,NA
"12","USC00058184",12,1965,-0.217231943900033,0.653932899053957,0.666227861255383,0.480310343713948,0.812820473314229,-0.410183294064788,1.12628588076475
"13","USC00058184",1,1966,-0.944220351362053,-1.45559735182304,-1.40070115777844,-1.18910182600162,-0.172054491638337,-0.166202345610629,0.950614323000899
"14","USC00058184",2,1966,-0.444732806160109,-1.56956867273726,-1.29580884534796,-1.46479083985845,-0.217073768639163,-1.42086931155532,0.965589555084342
"15","USC00058184",3,1966,-1.11209808872206,-0.284073233063034,-0.86547870494961,0.919282302759509,-1.41479938367753,0.653578053166339,0.440503249562936
"16","USC00058184",4,1966,-0.398650512373274,0.379008581630638,0.263712392349768,0.501913696620959,0.441883925221389,-0.33590379325043,0.293184588106263
"17","USC00058184",5,1966,1.38466654176327,0.471637480412138,-0.0565962583541383,0.960210949587384,0.606772355874218,-0.204917810702814,0.399748886671328
"18","USC00058184",6,1966,0.473233587320757,-0.488052680221652,-0.0687504944366324,-0.695008260455346,0.650590706018463,-0.799932308970688,0.148759634865587
"19","USC00058184",7,1966,-0.799742029522512,0.828400736268645,0.478980867979321,0.971596153217346,0.340840047563873,0.769747768283306,-0.367688359431016
"20","USC00058184",8,1966,-0.800510025644363,-0.291527564989026,-0.713611925072032,0.568566172528924,-0.0829085377764529,0.121393412744881,-0.728601899535969
"21","USC00058184",9,1966,-0.668659868745495,0.0885100270768268,-0.279199079937997,0.52550625739454,0.945389751809599,0.390255819833679,-1.01790127948313
"22","USC00058184",10,1966,-0.492831941351024,0.399453911039459,0.0376265694498112,0.622992803281558,0.0724605262854387,-0.584238069806244,-0.888633160387689
"23","USC00058184",11,1966,-0.388307339318083,0.745528535843076,0.564386796994383,0.81218273030817,1.04863590174886,0.419825206638184,-1.25778352090582
"24","USC00058184",12,1966,3.29283211707073,-0.7848106937265,-0.166573074895558,-1.39505908749212,0.0918418354615879,3.30099889033092,-0.221361198841387
"25","USC00058184",1,1967,0.968000483226629,0.41915159308798,0.4961302225644,0.199130572124041,-0.764814932629478,0.546637989921197,0.19115023549277
"26","USC00058184",2,1967,-0.37992503539113,-0.278294365130309,-0.426550286167724,0.126408940808917,-0.0858753370440655,-0.0498550635633445,0.224559269931797
"27","USC00058184",3,1967,-0.540884070423913,1.03242898146399,0.752566901403607,1.29004763371525,-0.372554994416023,2.21237459258409,0.349104806854268
"28","USC00058184",4,1967,-1.51074865976963,-0.0908338011155947,-0.112354169959323,-0.036119726293562,0.798812863484327,-0.33590379325043,0.135878890062736
"29","USC00058184",5,1967,0.0899600078956358,-0.825751215757212,-0.4964030751386,-0.962005706277138,-0.402163073079423,0.292974861888361,-0.00271807160426056
"30","USC00058184",6,1967,1.17771826955726,-1.21165457600872,-0.304025922749653,-1.61140095015673,0.425962201382933,-0.0744975127438357,0.219533786354386
"31","USC00058184",7,1967,-0.263583283096316,-0.206181119558832,-0.216955028864924,-0.120501220554186,0.340840047563873,-1.00052027475088,0.432546814794427
"32","USC00058184",8,1967,0.2812914734808,-1.13400418224207,-0.555858614165185,-1.21935462882376,-0.0829085377764529,-1.10321266307711,0.744705766894727
"33","USC00058184",9,1967,1.34915962716738,-0.0372673798218213,0.192745136707562,-0.316385550410473,0.945389751809599,-0.264580216836394,1.05112613314998
"34","USC00058184",10,1967,-1.42765459216661,0.414168042039556,0.027153885854984,0.658008443427281,0.363281827728346,-0.293465205570878,0.898573052335408
"35","USC00058184",11,1967,-0.738618017748238,0.579931230378784,0.121841610150096,1.00499618951125,0.262820436266745,0.818189699837994,0.859382112521079
"36","USC00058184",12,1967,0.801232239594075,0.00384486174229563,0.191832899018984,-0.238530613304261,-0.388810589773507,-1.03522450406828,0.268793994589871
"37","USC00058184",1,1968,-0.560049574209925,-0.36667501437719,-0.460430258839407,-0.119528511824039,-0.277904570386755,-0.166202345610629,-0.110756634603885
