"population","focal_vr","focal_cov","focal_min_max","projection","lambda","focal_vr_full","focal_cov_full","focal_cov_cat"
"SierraRetinY5","repro_survival","summerT","max",28,0.908455976607491,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","repro_survival","summerT","max",28,0.872967399237961,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","flowering","prevwinterT","max",28,0.928274175345855,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"SierraRetinY5","flowering","prevwinterT","max",28,0.848005013848883,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Vertedero","flowering","prevwinterT","max",28,0.835982353714392,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Bujeo","non_repro_survival","fallR","max",28,0.846863684890848,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","non_repro_survival","fallR","max",28,0.911609221348948,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","non_repro_survival","fallR","max",28,0.901779479990163,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","non_repro_survival","fallR","max",28,0.948411369457771,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","non_repro_survival","fallR","max",28,1.02091170629241,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","non_repro_survival","fallR","max",28,0.913863029576613,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","non_repro_survival","fallR","max",28,0.861444510016632,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","non_repro_survival","fallR","max",28,0.837579425371275,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Bujeo","repro_survival","fallR","max",28,0.779719791098579,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","repro_survival","fallR","max",28,1.03714279295033,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","repro_survival","fallR","max",28,1.12666387183498,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","repro_survival","fallR","max",28,0.953543416172594,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","repro_survival","fallR","max",28,0.939390338652489,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","repro_survival","fallR","max",28,0.89960319867,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","repro_survival","fallR","max",28,0.839562584492021,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","repro_survival","fallR","max",28,0.859396086075485,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","flowering","prevfallR","max",28,0.918261953054095,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"SierraRetinY5","flowering","prevfallR","max",28,0.866015438025986,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Vertedero","flowering","prevfallR","max",28,0.862278079073439,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Bujeo","flowering","prevwinterR","max",28,0.927350211897295,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Prisoneros","flowering","prevwinterR","max",28,0.998277384482685,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Retin","flowering","prevwinterR","max",28,0.895088953083788,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"MonteraTorero","flowering","prevwinterR","max",28,0.961249521029016,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"SCarbDist","flowering","prevwinterR","max",28,0.973506547591234,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Bujeo","non_repro_survival","dens","max",28,1.26325516029483,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","non_repro_survival","dens","max",28,0.55926165464565,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","non_repro_survival","dens","max",28,1.06436519514356,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","non_repro_survival","dens","max",28,0.970922682787912,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","non_repro_survival","dens","max",28,0.977651110265376,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","non_repro_survival","dens","max",28,0.835744008248795,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","non_repro_survival","dens","max",28,0.868740662478694,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","non_repro_survival","dens","max",28,0.865954799183267,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","repro_survival","dens","max",28,0.826500438448027,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","repro_survival","dens","max",28,0.641518805306687,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","repro_survival","dens","max",28,1.04778556928661,"Reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","repro_survival","dens","max",28,0.93643074565689,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","repro_survival","dens","max",28,0.941221580618646,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","repro_survival","dens","max",28,0.851416383953982,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","repro_survival","dens","max",28,0.905518527267663,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","repro_survival","dens","max",28,0.843792978692786,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","flowering","dens","max",28,0.80663698067903,"Reproduction","Aboveground density of
large individuals","Density"
"Prisoneros","flowering","dens","max",28,0.601486617441227,"Reproduction","Aboveground density of
large individuals","Density"
"Retin","flowering","dens","max",28,0.878134848960865,"Reproduction","Aboveground density of
large individuals","Density"
"MonteraTorero","flowering","dens","max",28,0.95057720176912,"Reproduction","Aboveground density of
large individuals","Density"
"SCarbDist","flowering","dens","max",28,1.02467863006513,"Reproduction","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","flowering","dens","max",28,0.85522297789904,"Reproduction","Aboveground density of
large individuals","Density"
"SierraRetinY5","flowering","dens","max",28,0.876349565485689,"Reproduction","Aboveground density of
large individuals","Density"
"Vertedero","flowering","dens","max",28,0.860746063838454,"Reproduction","Aboveground density of
large individuals","Density"
"Bujeo","non_repro_survival","summerT","min",29,1.00909671982702,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","non_repro_survival","summerT","min",29,1.0344236559441,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","non_repro_survival","summerT","min",29,0.950339426184185,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","non_repro_survival","summerT","min",29,0.985758883421426,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","non_repro_survival","summerT","min",29,0.950240528007132,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","non_repro_survival","summerT","min",29,0.884984434840963,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","non_repro_survival","summerT","min",29,0.870288197278704,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","non_repro_survival","summerT","min",29,0.963787409783381,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Bujeo","repro_survival","summerT","min",29,2.05603515457598,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","repro_survival","summerT","min",29,0.996426022987603,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","repro_survival","summerT","min",29,1.04411625383183,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","repro_survival","summerT","min",29,0.950511262744566,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","repro_survival","summerT","min",29,0.961387058780438,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","repro_survival","summerT","min",29,0.909449564842268,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","repro_survival","summerT","min",29,0.89248912857712,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","repro_survival","summerT","min",29,0.834057583916462,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","flowering","prevwinterT","min",29,0.919618336891272,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"SierraRetinY5","flowering","prevwinterT","min",29,0.850150647350728,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Vertedero","flowering","prevwinterT","min",29,0.836317800462075,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Bujeo","non_repro_survival","fallR","min",29,0.918926888273251,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","non_repro_survival","fallR","min",29,0.951112192574191,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","non_repro_survival","fallR","min",29,0.893912474728155,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","non_repro_survival","fallR","min",29,0.990169256116596,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","non_repro_survival","fallR","min",29,0.907119282852843,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","non_repro_survival","fallR","min",29,0.857851146902036,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","non_repro_survival","fallR","min",29,0.884762845181372,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","non_repro_survival","fallR","min",29,0.835343336001814,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Bujeo","repro_survival","fallR","min",29,1.00351809642098,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","repro_survival","fallR","min",29,0.935988540268835,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","repro_survival","fallR","min",29,0.926149021560622,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","repro_survival","fallR","min",29,0.953615856754146,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","repro_survival","fallR","min",29,0.971378631696958,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","repro_survival","fallR","min",29,0.841181877470819,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","repro_survival","fallR","min",29,0.865702079048732,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","repro_survival","fallR","min",29,0.9872819501464,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","flowering","prevfallR","min",29,0.911135906472383,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"SierraRetinY5","flowering","prevfallR","min",29,0.865774492038886,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Vertedero","flowering","prevfallR","min",29,0.848583382982671,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Bujeo","flowering","prevwinterR","min",29,0.743510912460424,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Prisoneros","flowering","prevwinterR","min",29,0.836809310522976,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Retin","flowering","prevwinterR","min",29,0.855113679232559,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"MonteraTorero","flowering","prevwinterR","min",29,0.93832101317987,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"SCarbDist","flowering","prevwinterR","min",29,0.908446834696222,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Bujeo","non_repro_survival","dens","min",29,0.745575469051674,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","non_repro_survival","dens","min",29,0.585296391184917,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","non_repro_survival","dens","min",29,1.19388152643241,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","non_repro_survival","dens","min",29,0.965163018778972,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","non_repro_survival","dens","min",29,0.917793086931054,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","non_repro_survival","dens","min",29,0.858862682938655,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","non_repro_survival","dens","min",29,0.880524041782425,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","non_repro_survival","dens","min",29,0.824350354295329,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","repro_survival","dens","min",29,0.588976556549487,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","repro_survival","dens","min",29,0.556137269619063,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","repro_survival","dens","min",29,0.942905833280507,"Reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","repro_survival","dens","min",29,0.952521002345424,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","repro_survival","dens","min",29,0.959958846169034,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","repro_survival","dens","min",29,0.851836033689068,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","repro_survival","dens","min",29,0.878886988713116,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","repro_survival","dens","min",29,0.891444609382735,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","flowering","dens","min",29,0.870125219777849,"Reproduction","Aboveground density of
large individuals","Density"
"Prisoneros","flowering","dens","min",29,0.587595358422087,"Reproduction","Aboveground density of
large individuals","Density"
"Retin","flowering","dens","min",29,0.898819086031921,"Reproduction","Aboveground density of
large individuals","Density"
"MonteraTorero","flowering","dens","min",29,0.944981857947432,"Reproduction","Aboveground density of
large individuals","Density"
"SCarbDist","flowering","dens","min",29,1.01954857450198,"Reproduction","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","flowering","dens","min",29,0.825940155650809,"Reproduction","Aboveground density of
large individuals","Density"
"SierraRetinY5","flowering","dens","min",29,0.87860023367633,"Reproduction","Aboveground density of
large individuals","Density"
"Vertedero","flowering","dens","min",29,0.812016083875453,"Reproduction","Aboveground density of
large individuals","Density"
"Bujeo","non_repro_survival","summerT","max",29,0.773025906558193,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","non_repro_survival","summerT","max",29,0.995413633308769,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","non_repro_survival","summerT","max",29,0.90016771929588,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","non_repro_survival","summerT","max",29,0.937446491016031,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","non_repro_survival","summerT","max",29,0.992438788996782,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","non_repro_survival","summerT","max",29,0.939634630161462,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","non_repro_survival","summerT","max",29,0.852909655629697,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","non_repro_survival","summerT","max",29,0.84393527321362,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Bujeo","repro_survival","summerT","max",29,0.953455041274238,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","repro_survival","summerT","max",29,0.91888771239911,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","repro_survival","summerT","max",29,0.90244251006665,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","repro_survival","summerT","max",29,0.984410607115042,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","repro_survival","summerT","max",29,0.984999843643002,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","repro_survival","summerT","max",29,0.857407164733755,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","repro_survival","summerT","max",29,0.86762838854686,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","repro_survival","summerT","max",29,0.81014265448434,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","flowering","prevwinterT","max",29,0.930723688411063,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"SierraRetinY5","flowering","prevwinterT","max",29,0.842149506760232,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Vertedero","flowering","prevwinterT","max",29,0.852721869817401,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Bujeo","non_repro_survival","fallR","max",29,0.835529651748193,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","non_repro_survival","fallR","max",29,1.01888888596395,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","non_repro_survival","fallR","max",29,1.0338345396122,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","non_repro_survival","fallR","max",29,0.937363166963829,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","non_repro_survival","fallR","max",29,0.991590565662201,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","non_repro_survival","fallR","max",29,0.954341846735219,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","non_repro_survival","fallR","max",29,0.850707193164061,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","non_repro_survival","fallR","max",29,0.824881447960493,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Bujeo","repro_survival","fallR","max",29,0.755727043897193,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","repro_survival","fallR","max",29,0.904966922297511,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","repro_survival","fallR","max",29,1.00285014747228,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","repro_survival","fallR","max",29,0.944615491868577,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","repro_survival","fallR","max",29,0.961287634394584,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","repro_survival","fallR","max",29,0.939519211265933,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","repro_survival","fallR","max",29,0.862319820638395,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","repro_survival","fallR","max",29,0.916305389914952,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","flowering","prevfallR","max",29,0.924736618466645,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"SierraRetinY5","flowering","prevfallR","max",29,0.858910322113878,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Vertedero","flowering","prevfallR","max",29,0.839934299982423,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Bujeo","flowering","prevwinterR","max",29,0.847044746158211,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Prisoneros","flowering","prevwinterR","max",29,1.02229227557879,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Retin","flowering","prevwinterR","max",29,1.15223051679747,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"MonteraTorero","flowering","prevwinterR","max",29,0.991569973055181,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"SCarbDist","flowering","prevwinterR","max",29,0.995503935005072,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Bujeo","non_repro_survival","dens","max",29,0.779467841955819,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","non_repro_survival","dens","max",29,0.630725561862054,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","non_repro_survival","dens","max",29,0.904033333542741,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","non_repro_survival","dens","max",29,0.953273424139235,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","non_repro_survival","dens","max",29,0.932682638912884,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","non_repro_survival","dens","max",29,0.833981703441093,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","non_repro_survival","dens","max",29,0.900035600769189,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","non_repro_survival","dens","max",29,0.848809902572101,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","repro_survival","dens","max",29,0.759861852519578,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","repro_survival","dens","max",29,0.582945662958686,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","repro_survival","dens","max",29,1.00710559109843,"Reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","repro_survival","dens","max",29,0.950945167110074,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","repro_survival","dens","max",29,0.944500002666716,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","repro_survival","dens","max",29,0.840754671928214,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","repro_survival","dens","max",29,0.891415949158077,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","repro_survival","dens","max",29,0.841367818261967,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","flowering","dens","max",29,0.845402344224928,"Reproduction","Aboveground density of
large individuals","Density"
"Prisoneros","flowering","dens","max",29,0.540178956726303,"Reproduction","Aboveground density of
large individuals","Density"
"Retin","flowering","dens","max",29,0.907545990389841,"Reproduction","Aboveground density of
large individuals","Density"
"MonteraTorero","flowering","dens","max",29,0.965557002554509,"Reproduction","Aboveground density of
large individuals","Density"
"SCarbDist","flowering","dens","max",29,0.982408655220688,"Reproduction","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","flowering","dens","max",29,0.812025184431941,"Reproduction","Aboveground density of
large individuals","Density"
"SierraRetinY5","flowering","dens","max",29,0.869727829655044,"Reproduction","Aboveground density of
large individuals","Density"
"Vertedero","flowering","dens","max",29,0.840645835562559,"Reproduction","Aboveground density of
large individuals","Density"
"Bujeo","non_repro_survival","summerT","min",30,0.950417299169215,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","non_repro_survival","summerT","min",30,1.07743242318468,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","non_repro_survival","summerT","min",30,0.997771278950571,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","non_repro_survival","summerT","min",30,0.984378871325434,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","non_repro_survival","summerT","min",30,0.964327866501223,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","non_repro_survival","summerT","min",30,0.885453462421999,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","non_repro_survival","summerT","min",30,0.8881898427852,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","non_repro_survival","summerT","min",30,0.865881813019928,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Bujeo","repro_survival","summerT","min",30,0.917628137183408,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","repro_survival","summerT","min",30,0.942682118688879,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","repro_survival","summerT","min",30,0.99412819351497,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","repro_survival","summerT","min",30,0.933260168258753,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","repro_survival","summerT","min",30,0.988718952926376,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","repro_survival","summerT","min",30,0.902211787282971,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","repro_survival","summerT","min",30,0.885524435887364,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","repro_survival","summerT","min",30,0.858051353753257,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","flowering","prevwinterT","min",30,0.930686064466257,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"SierraRetinY5","flowering","prevwinterT","min",30,1.24037496454913,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Vertedero","flowering","prevwinterT","min",30,0.898061252547448,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Bujeo","non_repro_survival","fallR","min",30,0.813260589623097,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","non_repro_survival","fallR","min",30,0.94585613226825,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","non_repro_survival","fallR","min",30,0.972839255499315,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","non_repro_survival","fallR","min",30,0.94430079645224,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","non_repro_survival","fallR","min",30,0.942958195370373,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","non_repro_survival","fallR","min",30,0.851054684777559,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","non_repro_survival","fallR","min",30,0.893611875874385,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","non_repro_survival","fallR","min",30,0.816497657156631,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Bujeo","repro_survival","fallR","min",30,1.0582634864945,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","repro_survival","fallR","min",30,0.925549596448474,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","repro_survival","fallR","min",30,0.802704753202277,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","repro_survival","fallR","min",30,0.945607360266751,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","repro_survival","fallR","min",30,0.89098423246149,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","repro_survival","fallR","min",30,0.809721024836389,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","repro_survival","fallR","min",30,0.906574100648603,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","repro_survival","fallR","min",30,0.777641316425434,"Reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","flowering","prevfallR","min",30,0.914504052497976,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"SierraRetinY5","flowering","prevfallR","min",30,0.830625922134065,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Vertedero","flowering","prevfallR","min",30,0.886110248069282,"Reproduction","Previous fall cumulative
rainfall","Rainfall"
"Bujeo","flowering","prevwinterR","min",30,0.658966346835484,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Prisoneros","flowering","prevwinterR","min",30,0.886699975610624,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"Retin","flowering","prevwinterR","min",30,1.0020301727078,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"MonteraTorero","flowering","prevwinterR","min",30,0.928805035670328,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
"SCarbDist","flowering","prevwinterR","min",30,0.971615965461301,"Reproduction","Previous winter cumulative
rainfall","Rainfall"
