"population","focal_vr","focal_cov","focal_min_max","projection","lambda","focal_vr_full","focal_cov_full","focal_cov_cat"
"Bujeo","non_repro_survival","dens","min",1,0.858862345363636,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","non_repro_survival","dens","min",1,0.591094608956458,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","non_repro_survival","dens","min",1,0.967128426352745,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","non_repro_survival","dens","min",1,0.933214007670048,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","non_repro_survival","dens","min",1,0.952119975992135,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","non_repro_survival","dens","min",1,0.826843571869356,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","non_repro_survival","dens","min",1,0.913087505252165,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","non_repro_survival","dens","min",1,0.881635667372137,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","repro_survival","dens","min",1,0.715102288566295,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","repro_survival","dens","min",1,0.602075193602535,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","repro_survival","dens","min",1,1.05544292967178,"Reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","repro_survival","dens","min",1,0.977301753221012,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","repro_survival","dens","min",1,0.927279570209161,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","repro_survival","dens","min",1,0.857197809964712,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","repro_survival","dens","min",1,0.912571310375143,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","repro_survival","dens","min",1,0.827300761038787,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","flowering","dens","min",1,0.814937854806563,"Reproduction","Aboveground density of
large individuals","Density"
"Prisoneros","flowering","dens","min",1,0.589520122297409,"Reproduction","Aboveground density of
large individuals","Density"
"Retin","flowering","dens","min",1,0.987899166584965,"Reproduction","Aboveground density of
large individuals","Density"
"MonteraTorero","flowering","dens","min",1,0.939286637636346,"Reproduction","Aboveground density of
large individuals","Density"
"SCarbDist","flowering","dens","min",1,1.03898449674407,"Reproduction","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","flowering","dens","min",1,0.857990676198673,"Reproduction","Aboveground density of
large individuals","Density"
"SierraRetinY5","flowering","dens","min",1,0.876336316176622,"Reproduction","Aboveground density of
large individuals","Density"
"Vertedero","flowering","dens","min",1,0.833898292714182,"Reproduction","Aboveground density of
large individuals","Density"
"Bujeo","non_repro_survival","summerT","max",1,1.72911053416138,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","non_repro_survival","summerT","max",1,1.04036417367575,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","non_repro_survival","summerT","max",1,0.850060752636899,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","non_repro_survival","summerT","max",1,1.00727027093044,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","non_repro_survival","summerT","max",1,0.970114883573624,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","non_repro_survival","summerT","max",1,0.88798442713443,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","non_repro_survival","summerT","max",1,0.85509987982432,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
