Fr.on.plant,Fr.on.grnd.not.chewed
5,0
9,0
7,0
29,0
7,0
11,0
31,0
11,0
25,0
12,0
40,1
8,0
49,0
37,2
29,4
43,4
17,0
32,0
20,0
26,1
34,2
28,2
