"site","transect","subQuadrat","ID","fireYear","size","sizeNext","fl","fs","fps","surv","sds","time","TSFcont","TSF","LS","stage","stageNext","abTot","abRepro","abLarge","size_unscaled","abLarge_unscaled","TSFcont_unscaled","quadratID","date","summerT_unscaled","summerT","fallR_unscaled","fallR","winterR_unscaled","winterR","fallwinterR_unscaled","fallwinterR","prevwinterT_unscaled","prevwinterT","prevfallR_unscaled","prevfallR","prevwinterR_unscaled","prevwinterR"
"SierraCarbonera",3,1,"CM3.1.8",2005,0.585904959953946,4.83628190695148,NA,NA,NA,1,NA,"2016",-0.78544727122816,">10","FD","LR","SR",1,1,-0.471652813690075,5.82894561761021,1,11,"3_1",2016-05-01,27.3116079916885,0.652662894112509,237.100003533065,0.784193171686604,193.300002880394,-0.16857537889435,582.400008678437,0.49261382126375,18.435282031395,0.762405064303585,109.400001630187,-0.193732460150696,176.100002624094,-0.386965734554236
"SierraCarbonera",4,1,"CM4.1.2",2005,0.880050990519572,NA,NA,NA,NA,0,NA,"2016",-0.78544727122816,">10","FD","LR",NA,1,1,-0.471652813690075,6.68210859744981,1,11,"4_1",2016-05-01,27.3116079916885,0.652662894112509,237.100003533065,0.784193171686604,193.300002880394,-0.16857537889435,582.400008678437,0.49261382126375,18.435282031395,0.762405064303585,109.400001630187,-0.193732460150696,176.100002624094,-0.386965734554236
"Retin",1,7,"RO1.7.16",1996,0.388885368884224,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","SR",NA,22,6,2.75127127351615,5.25749537202778,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.23",1996,0.127657154771424,4.51085950651685,NA,NA,NA,1,NA,"2016",-0.611742520945221,">10","PD","SR","SR",22,6,2.75127127351615,4.49980967033027,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.25",1996,0.31284857194755,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","SR",NA,22,6,2.75127127351615,5.03695260241363,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.36",1996,0.269994298106513,5.04985600724954,NA,NA,NA,1,NA,"2016",-0.611742520945221,">10","PD","SR","SR",22,6,2.75127127351615,4.91265488573605,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.37",1996,0.462933708925779,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","SR",NA,22,6,2.75127127351615,5.47227067367148,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.38",1996,0.254438071161881,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","SR",NA,22,6,2.75127127351615,4.86753445045558,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.45",1996,0.528678063716462,5.39362754635236,NA,NA,NA,1,NA,"2016",-0.611742520945221,">10","PD","J","SR",22,6,2.75127127351615,5.66296048013595,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.46",1996,-0.0749947633097749,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","J",NA,22,6,2.75127127351615,3.91202300542815,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.47",1996,0.203054894607093,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","J",NA,22,6,2.75127127351615,4.71849887129509,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.52",1996,0.0507236831881491,NA,0,NA,NA,0,4.27666611901606,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,4.27666611901606,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.53",1996,-0.37408398135314,5.48063892334199,0,NA,NA,1,3.04452243772342,"2016",-0.611742520945221,">10","PD","SD","J",22,6,2.75127127351615,3.04452243772342,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.54",1996,-0.490089920589128,NA,0,NA,NA,0,2.70805020110221,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,2.70805020110221,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.55",1996,-0.328046201908244,NA,0,NA,NA,0,3.17805383034795,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,3.17805383034795,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.56",1996,-0.0421345575525963,NA,0,NA,NA,0,4.00733318523247,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,4.00733318523247,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.57",1996,-0.37408398135314,NA,0,NA,NA,0,3.04452243772342,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,3.04452243772342,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.58",1996,-0.0749947633097749,NA,0,NA,NA,0,3.91202300542815,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,3.91202300542815,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.59",1996,-0.328046201908244,4.88280192258637,0,NA,NA,1,3.17805383034795,"2016",-0.611742520945221,">10","PD","SD","J",22,6,2.75127127351615,3.17805383034795,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.60",1996,-0.37408398135314,NA,0,NA,NA,0,3.04452243772342,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,3.04452243772342,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.61",1996,-0.15192823489305,NA,0,NA,NA,0,3.68887945411394,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,3.68887945411394,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.62",1996,-0.197966014337945,NA,0,NA,NA,0,3.55534806148941,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,3.55534806148941,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.63",1996,-0.251112730324969,NA,0,NA,NA,0,3.40119738166216,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,3.40119738166216,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,7,"RO1.7.64",1996,-0.0421345575525963,NA,0,NA,NA,0,4.00733318523247,"2016",-0.611742520945221,">10","PD","SD",NA,22,6,2.75127127351615,4.00733318523247,7,20,"1_7",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,8,"RO1.8.6",1996,0.0207246656963672,4.68213122712422,0,NA,NA,1,4.18965474202643,"2016",-0.611742520945221,">10","PD","SD","J",5,0,-0.471652813690075,4.18965474202643,1,20,"1_8",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,8,"RO1.8.7",1996,-0.490089920589128,NA,0,NA,NA,0,2.70805020110221,"2016",-0.611742520945221,">10","PD","SD",NA,5,0,-0.471652813690075,2.70805020110221,1,20,"1_8",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,8,"RO1.8.8",1996,-0.0121355400608144,NA,0,NA,NA,0,4.0943445622221,"2016",-0.611742520945221,">10","PD","SD",NA,5,0,-0.471652813690075,4.0943445622221,1,20,"1_8",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,8,"RO1.8.9",1996,0.289700873452304,NA,0,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","J",NA,5,0,-0.471652813690075,4.969813299576,1,20,"1_8",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,8,"RO1.8.10",1996,-0.15192823489305,4.86753445045558,0,NA,NA,1,3.68887945411394,"2016",-0.611742520945221,">10","PD","SD","J",5,0,-0.471652813690075,3.68887945411394,1,20,"1_8",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,9,"RO1.9.6",1996,0.648764183202906,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","LR",NA,14,5,2.75127127351615,6.01126717440416,7,20,"1_9",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,9,"RO1.9.22",1996,0.429493568284542,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","SR",NA,14,5,2.75127127351615,5.37527840768417,7,20,"1_9",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,9,"RO1.9.26",1996,0.437383413897289,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","SR",NA,14,5,2.75127127351615,5.39816270151775,7,20,"1_9",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
"Retin",1,9,"RO1.9.28",1996,0.249092674051988,NA,NA,NA,NA,0,NA,"2016",-0.611742520945221,">10","PD","SR",NA,14,5,2.75127127351615,4.85203026391962,7,20,"1_9",2016-05-01,26.1729348988603,0.112192610106924,231.000003442168,0.739367136303714,172.10000256449,-0.238025705033171,546.300008140504,0.347047445157706,17.8422925192507,0.383428069753713,122.400001823902,-0.0949438323269462,156.600002333522,-0.467378024208513
