"sens.pet.no.cov","sens.precip.no.cov"
0.141464248119473,0.0125375138753993
0.141462961596448,0.0125508682433936
0.141473147064308,0.0125411086575391
0.141468757799626,0.0125599934386533
0.14146143867112,0.0125231490509602
0.141459225545638,0.0125424372689248
0.141459098837487,0.0125619991952852
0.141470921156005,0.0125266844852767
0.141468086400341,0.0125510292110398
0.141432696664031,0.012533236349961
0.141467746278073,0.0125426564137839
0.141463074894818,0.0125041888613616
0.141461785640206,0.0125259809303413
0.141455419037721,0.0125451658677556
0.141458997758453,0.0125330849125861
0.141452617644972,0.0125385427452867
0.141452693516207,0.0125110473731743
0.141464997334199,0.0125422039397615
0.141452300997458,0.0125082592576595
0.141455574848411,0.0125291412212112
0.14146869851932,0.0125360947399029
0.141446964425371,0.0125475630808964
0.141457158966247,0.0125412929362276
0.141448666185751,0.0125375530081361
0.141471421272997,0.0125582286613975
0.141439293519586,0.0125352579657387
0.141452271949693,0.012532211268904
0.141429601432746,0.0125403545764982
0.141450749157829,0.0125278593785637
0.141478679879809,0.0125508561119184
0.141452368434,0.0125241761230949
0.141464728294876,0.0125466986005651
0.141444895258321,0.0125605205888428
0.141461066845324,0.0125597523387756
0.141462146570023,0.0125189782980547
0.141471009239214,0.0125312583159607
0.14147980561429,0.0125260430554196
0.141479588321683,0.0125396010404845
0.141455721323158,0.0125463301847268
0.14145367282879,0.0125405258514022
0.141456473336764,0.0125302490778248
0.141450243773488,0.0125476580329858
0.141446232382693,0.0125419205649309
0.141460793208707,0.0125108464279683
0.141458328358608,0.012569563938558
0.14146248737798,0.0125691441112219
0.141445497059051,0.0125459306433284
0.141450006531058,0.0125531321044857
0.141461974696807,0.0125322331095447
0.141467278239795,0.0125676811082368
0.14143795836381,0.0125313242768924
0.141453972197173,0.0125600361025748
0.141454762777521,0.0125345907981386
0.141467045473114,0.0125317514358154
0.141450299184362,0.0125474177836454
0.141467733227588,0.0125619019983557
0.141455548709507,0.0125327996961152
0.141448230518205,0.0125339319686737
0.141466444602315,0.0125411840011391
0.141445814911442,0.0125604278207634
0.141438625568442,0.0125285178706596
0.141459751303049,0.0125495601058396
0.1414747430292,0.0125539338029062
0.141469938115289,0.0125477127905152
0.141458933900625,0.0125204605525714
0.141449202450369,0.0125321922653924
0.141456854702446,0.0125359075282074
0.141444598794494,0.0125207747011793
0.141449493911774,0.0125321273947429
0.14145705060424,0.0125354926974298
0.141459943273989,0.0125191094344276
0.141449374128361,0.0125189731944862
0.14145457241079,0.0125303284312981
0.141477811496594,0.0125173384654244
0.141441215146569,0.0125436184174549
0.141456699533944,0.0125081747902408
0.141457675033478,0.0125707753235265
0.14145774656897,0.012523602748322
0.141463790765917,0.0125491322761178
0.14145821732588,0.0125260225871019
0.141455998981072,0.0125528465069945
0.141433926946058,0.0125181657509005
0.141446126378065,0.0125235911396468
0.141460723507181,0.0125322946212153
0.141460117100691,0.0125367454949496
0.141451084780742,0.0125275562419854
0.141455452890478,0.0125474594392803
0.141455965221625,0.0125342572065164
0.141466243409729,0.0125343699249655
0.141465556180069,0.012552636890852
0.141461679694424,0.0125342544574784
0.141462978134189,0.0125386505138637
0.14147531582439,0.0125316726277851
0.141450818659843,0.0125240088016545
0.141453360189967,0.0125328664634791
0.14146296418232,0.0125309459252941
0.14145481354323,0.0125387256437363
0.141452243269661,0.0125568746569919
0.141446705220597,0.0125275185474188
0.141475063640749,0.0125403725397043
