"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.276110888160538,0,1,3,15,0,0,0,20,0.116399651934377
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0988426699961909,1,1,3,15,0,0,0,20,0.0406581656085881
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.191854037102109,0,1,3,15,0,0,0,20,0.0728749752147908
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.196593078381691,1,1,3,15,0,0,0,20,0.0832074974220387
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.133433373959305,0,1,3,15,0,0,0,20,0.0516235303946846
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.190284734774098,1,1,3,15,0,0,0,20,0.0742553103961172
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.373143083118384,0,1,3,15,0,0,0,20,0.195778253329249
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.247285745278749,1,1,3,15,0,0,0,20,0.118997039947711
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.209241501306551,0,1,3,15,0,0,0,20,0.0865993932751159
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.260090760503808,1,1,3,15,0,0,0,20,0.115892202894489
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.169652715165662,0,1,3,15,0,0,0,20,0.0641892814849114
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.196164354362358,1,1,3,15,0,0,0,20,0.0820576685905104
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.186377924564328,0,1,3,15,0,0,0,20,0.069824024106665
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.17862820153627,1,1,3,15,0,0,0,20,0.0632272868728325
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.296100453971079,0,1,3,15,0,0,0,20,0.127260417999696
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.189335483192113,1,1,3,15,0,0,0,20,0.0838598359351599
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.207400532576025,0,1,3,15,0,0,0,20,0.104701896729748
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.154969718030516,1,1,3,15,0,0,0,20,0.0601840194219469
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.136462552851306,0,1,3,15,0,0,0,20,0.0588432302073792
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.158768940110338,1,1,3,15,0,0,0,20,0.0589461794220175
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.292348383008426,0,1,3,15,0,0,0,20,0.123818288238557
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.157958234318894,1,1,3,15,0,0,0,20,0.065933049523855
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.14562315856559,0,1,3,15,0,0,0,20,0.0603379513476042
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.394919988950793,1,1,3,15,0,0,0,20,0.167819293185414
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.304482951500639,0,1,3,15,0,0,0,20,0.134655766838692
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0300317786861075,1,1,3,15,0,0,0,20,0.0114044710533815
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.453999009843544,0,1,3,15,0,0,0,20,0.188780454918925
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.349384910101523,1,1,3,15,0,0,0,20,0.127341192141654
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.326824816388781,0,1,3,15,0,0,0,20,0.11460927966377
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.401080720971844,1,1,3,15,0,0,0,20,0.160626379249465
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.284249577409612,0,1,3,15,0,0,0,20,0.123333134531517
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.137462061899689,1,1,3,15,0,0,0,20,0.0628888203253139
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0651260204008013,0,1,3,15,0,0,0,20,0.0284552132784622
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.233963054478132,1,1,3,15,0,0,0,20,0.107141038186936
"10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.268079434476932,0,1,3,15,0,0,0,20,0.137017070345385
