"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.169976879991852,0,0.8,11,32,0,1,0,22,0.763901389658426
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.157272090987213,0,0.8,11,32,0,1,0,22,0.71518245187447
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.137455629482826,0,0.8,11,32,0,1,0,22,0.640487258427734
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.125231225667377,0,0.8,11,32,0,1,0,22,0.592239626695536
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0995816175022655,0,0.8,11,32,0,1,0,22,0.480953623402526
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0896752482277635,0,0.8,11,32,0,1,0,22,0.445938674232248
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0997883629069315,0,0.8,11,32,0,1,0,22,0.51054435728406
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.115596861585925,0,0.8,11,32,0,1,0,22,0.595992003120845
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0787285832258697,0,0.8,11,32,0,1,0,22,0.392273145025111
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0876030505428666,0,0.8,11,32,0,1,0,22,0.438109186493367
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0766682615330952,0,0.8,11,32,0,1,0,22,0.378951681364347
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0613531142847734,0,0.8,11,32,0,1,0,22,0.309399957144272
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.0941029000920965,0,0.8,11,32,0,1,0,22,0.465516186207868
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.110402822169795,0,0.8,11,32,0,1,0,22,0.541342605043754
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.108573129604959,0,0.8,11,32,0,1,0,22,0.535817079642916
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.098515812753541,0,0.8,11,32,0,1,0,22,0.489870976522547
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.130364106494581,0,0.8,11,32,0,1,0,22,0.640538380255484
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.146157066631356,0,0.8,11,32,0,1,0,22,0.735414504787087
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.153776276469008,0,0.8,11,32,0,1,0,22,0.7652932903351
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.149521091607957,0,0.8,11,32,0,1,0,22,0.753965498164121
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.162703840855131,0,0.8,11,32,0,1,0,22,0.80963239021439
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.163660464646967,0,0.8,11,32,0,1,0,22,0.820076957571496
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.146838055328817,0,0.8,11,32,0,1,0,22,0.737677535376396
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.151426347134544,0,0.8,11,32,0,1,0,22,0.784125075801095
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.145212457375714,0,0.8,11,32,0,1,0,22,0.772397483790905
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.135517691844282,0,0.8,11,32,0,1,0,22,0.735472781258994
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.140779723901957,0,0.8,11,32,0,1,0,22,0.742319679625099
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.131920915996848,0,0.8,11,32,0,1,0,22,0.675332345985259
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.137062369554844,0,0.8,11,32,0,1,0,22,0.692546246474416
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.112827790589813,0,0.8,11,32,0,1,0,22,0.579491695908893
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.128345974688834,0,0.8,11,32,0,1,0,22,0.649782578715769
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.153668430737018,0,0.8,11,32,0,1,0,22,0.75768924677347
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.135977459588396,0,0.8,11,32,0,1,0,22,0.660179998678531
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.129740005863022,0,0.8,11,32,0,1,0,22,0.648938865538986
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.146131973465669,0,0.8,11,32,0,1,0,22,0.745646509451228
"10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","all",0.160959369891746,0,0.8,11,32,0,1,0,22,0.807157832085762
